"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"8949",8949,8949,"x31386_910_25946_13_549",31386,"Unknown","C46H44FN5O10S2","[M + H]+","C46H44FN5O10S2","Unknown",0.311763942241669,"Unknown",0.390704333782196,"Unknown",0.0874635800719261,"Alpha amino acids and derivatives",0.889114081859589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,15.8878504672897,66.9117647058823,NA,NA,NA,NA,NA,NA,28.6971830985916
"8950",8950,8950,"x38344_747_7238_15_525",38344,"Glycerolipids","C49H94O4","[M + H]+","C49H94O4","Fatty acids",0.998496055603027,"Glycerolipids",0.988854765892029,"Triacylglycerols",0.996625542640686,"Triradylcglycerols",0.972556829452515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","TAG",NA,"TAG",0,0,0,5.88235294117647,NA,NA,NA,NA,NA,NA,1.40845070422535
"8951",8951,8951,"x24591_720_59032_11_808",24591,"Glycerophospholipids","C40H82NO7P","[M + H]+","C40H82NO7P","Fatty acids",0.999907612800598,"Glycerophospholipids",0.999892830848694,"Glycerophosphocholines",0.999890685081482,"Glycerophosphocholines",0.999687910079956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,23.5981308411215,48.5294117647059,NA,NA,NA,NA,720.5903,"PC",29.4014084507042
"8952",8952,8952,"x2744_309_24241_2_649",2744,"Unknown","C19H32O3","[M + H]+","C19H32O3","Fatty acids",0.998504996299744,"Unknown",0.320558547973633,"Unknown",0.400037497282028,"Unknown",0.785461068153381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,16.8224299065421,15.4411764705882,NA,NA,NA,NA,NA,NA,16.3732394366197
"8953",8953,8953,"x19194_1025_54475_9_01",19194,"Oligopeptides","C48H72N12O13","[M + H]+","C48H72N12O13","Amino acids and Peptides",0.99494343996048,"Oligopeptides",0.972328662872314,"Cyclic peptides",0.963443040847778,"Unknown",0.832804322242737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Cyclic peptides",NA,"Cyclic peptides",0,0,11.4485981308411,0,NA,NA,NA,NA,NA,NA,8.62676056338028
"8954",8954,8954,"x5369_421_33204_3_74",5369,"Unknown","C26H44O4","[M + H]+","C26H44O4","Unknown",0.748877763748169,"Unknown",0.455514818429947,"Unknown",0.3491051197052,"Unknown",0.663469254970551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,20.5607476635514,11.7647058823529,NA,NA,NA,NA,NA,NA,18.3098591549296
"8955",8955,8955,"x34754_601_5564_14_34",34754,"Unknown","C40H72O3","[M + H]+","C40H72O3","Unknown",0.437510967254639,"Unknown",0.159036979079247,"Unknown",0.0737861096858978,"Fatty acid esters",0.86290317773819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,22.8971962616822,6.61764705882353,NA,NA,NA,NA,NA,NA,18.8380281690141
"8956",8956,8956,"x12253_359_33128_6_124",12253,"Unknown","C25H42O","[M + H]+","C25H42O","Unknown",0.691135108470917,"Unknown",0.840849220752716,"Unknown",0.711251020431519,"Unknown",0.591024398803711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,6.77570093457944,0,359.33128,6.124,"18:4",NA,NA,NA,5.1056338028169
"8957",8957,8957,"x24519_584_50528_11_76",24519,"Unknown","C38H65NO3","[M + H]+","C38H65NO3","Fatty acids",0.912293374538422,"Unknown",0.433169931173325,"Unknown",0.525025963783264,"Unknown",0.737882137298584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,27.803738317757,15.4411764705882,584.50528,11.76,"O-16:0",NA,NA,NA,24.6478873239437
"8958",8958,8958,"x4725_1189_44617_3_553",4725,"Unknown","C62H68N4O20","[M + H]+","C62H68N4O20","Unknown",0.297372043132782,"Unknown",0.350478380918503,"Unknown",0.641135811805725,"Unknown",0.691109120845795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,34.8130841121495,19.1176470588235,NA,NA,NA,NA,NA,NA,31.1619718309859
"8959",8959,8959,"x12221_590_47896_6_096",12221,"Unknown","C36H63NO5","[M + H]+","C36H63NO5","Fatty acids",0.882282316684723,"Unknown",0.129696354269981,"Unknown",0.661612987518311,"Unknown",0.545496106147766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,27.3364485981308,10.2941176470588,NA,NA,NA,NA,NA,NA,23.0633802816901
"8960",8960,8960,"x30996_930_77504_13_512",30996,"Sphingolipids","C57H103NO8","[M + H]+","C57H103NO8","Fatty acids",0.992976725101471,"Sphingolipids",0.972559750080109,"Neutral glycosphingolipids",0.980965435504913,"Unknown",0.530102550983429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Neutral GSL",NA,"Neutral GSL",0,0,62.1495327102804,28.6764705882353,NA,NA,NA,NA,NA,NA,53.6971830985916
"8961",8961,8961,"x31418_813_60027_13_55",31418,"Unknown","C43H86N2O8S","[M + Na]+","C43H86N2O8S","Fatty acids",0.998940527439117,"Unknown",0.611073672771454,"Unknown",0.136732071638107,"N-acyl amines",0.972435176372528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,29.9065420560748,0,NA,NA,NA,NA,NA,NA,22.5352112676056
"8962",8962,8962,"x8523_600_42528_4_75",8523,"Unknown","C34H59NO6","[M + Na]+","C34H59NO6","Fatty acids",0.871195316314697,"Unknown",0.544142961502075,"Unknown",0.472867876291275,"Unknown",0.64116245508194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,11.4485981308411,7.35294117647059,NA,NA,NA,NA,NA,NA,10.387323943662
"8963",8963,8963,"x33693_1057_82029_14_045",33693,"Unknown","C54H106N12O7","[M + Na]+","C54H106N12O7","Amino acids and Peptides",0.910850286483765,"Unknown",0.818581342697144,"Unknown",0.279953092336655,"Unknown",0.678443610668182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,39.9532710280374,8.82352941176471,NA,NA,NA,NA,NA,NA,32.2183098591549
