"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"1210",1210,1210,"x36611_846_7523_14_855",36611,"Glycerolipids","C51H101NO6","[M + Na]+","C51H101NO6","Fatty acids",0.999434649944305,"Glycerolipids",0.991565465927124,"Triacylglycerols",0.999283730983734,"Triacylglycerols",0.964788675308228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","TAG",NA,"TAG",0,3.74682285286347e-05,21.4953271028037,97.0588235294118,846.7523,14.855,"16:0",NA,NA,NA,40.1408450704225
"1211",1211,1211,"x36801_896_7682_14_99",36801,"Triacylglycerols","C55H103NO6","[M + Na]+","C55H103NO6","Fatty acids",0.998906373977661,"Unknown",0.659850895404816,"Unknown",0.822587311267853,"N-acyl amines",0.968971610069275,NA,NA,NA,NA,NA,0.750761,2.85858,"Glycerolipid","Triacylglycerols","Triacylglycerols",896.7656,"Niarox",113669,"Both","TAG","TAG(18:1/18:2/18:3) [M+NH4]+","TAG",0,0,83.8785046728972,95.5882352941177,NA,NA,NA,NA,NA,NA,86.7957746478873
"1212",1212,1212,"x23273_720_61562_11_219",23273,"Unknown","C44H81NO6","[M + H]+","C44H81NO6","Fatty acids",0.996359050273895,"Unknown",0.272565394639969,"Unknown",0.40599736571312,"Amino acids and derivatives",0.88716721534729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,10.7476635514019,11.7647058823529,NA,NA,NA,NA,NA,NA,10.9154929577465
"1213",1213,1213,"x23220_901_5492_11_188",23220,"Unknown","C39H72N12O12","[M + H]+","C39H72N12O12","Amino acids and Peptides",0.99905401468277,"Unknown",0.848391115665436,"Unknown",0.601300299167633,"Oligopeptides",0.884109795093536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,53.9719626168224,35.2941176470588,NA,NA,NA,NA,NA,NA,49.6478873239437
"1214",1214,1214,"x23454_806_60739_11_353",23454,"Glycerophospholipids","C45H86NO7P","[M + Na]+","C45H86NO7P","Fatty acids",0.999450147151947,"Glycerophospholipids",0.99441385269165,"Glycerophosphoethanolamines",0.88368159532547,"Amino acids and derivatives",0.855854570865631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","GPEtn",NA,"GPEtn",0,0,85.5140186915888,76.4705882352941,NA,NA,NA,NA,NA,NA,83.2746478873239
"1215",1215,1215,"x4370_1003_72367_3_429",4370,"Unknown","C61H96N4O6","[M + Na]+","C61H96N4O6","Amino acids and Peptides",0.96030992269516,"Unknown",0.733332395553589,"Unknown",0.511408030986786,"Alpha amino acids and derivatives",0.87793231010437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,1.47058823529412,NA,NA,NA,NA,NA,NA,0.352112676056338
"1216",1216,1216,"x33331_943_67674_13_971",33331,"Unknown","C68H88O","[M + Na]+","C68H88O","Terpenoids",0.914900362491608,"Unknown",0.702818870544434,"Unknown",0.169882044196129,"Prenol lipids",0.977898836135864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,73.1308411214953,2.20588235294118,NA,NA,NA,NA,NA,NA,55.6338028169014
"1217",1217,1217,"x37645_769_7101_15_243",37645,"Glycerolipids","C51H92O4","[M + H]+","C51H92O4","Fatty acids",0.948162198066711,"Glycerolipids",0.908733427524567,"Triacylglycerols",0.990254461765289,"Unknown",0.623300611972809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","TAG",NA,"TAG",0,5.60644886791359e-06,80.8411214953271,1.47058823529412,NA,NA,NA,NA,NA,NA,61.2676056338028
"1218",1218,1218,"x15777_800_58994_7_562",15777,"Glycerophospholipids","C46H84NO6P","[M + Na]+","C46H84NO6P","Fatty acids",0.999914765357971,"Glycerophospholipids",0.998125970363617,"Glycerophosphocholines",0.999720275402069,"Glycerophosphocholines",0.989777266979218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,87.6168224299065,41.1764705882353,NA,NA,NA,NA,800.5899,"PC",76.4084507042253
"1219",1219,1219,"x3635_581_39976_3_175",3635,"Carotenoids (C40)","C40H52O3","[M + H]+","C40H52O3","Terpenoids",0.999786913394928,"Carotenoids (C40)",0.998929917812347,"Unknown",0.698746144771576,"Prenol lipids",0.999215602874756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,3.00687518210979e-05,99.0654205607477,75,NA,NA,NA,NA,NA,NA,93.1338028169014
"1220",1220,1220,"x16586_956_63093_7_955",16586,"Digalactosyldiacylglycerol","C52H85N5O11","[M + H]+","C52H85N5O11","Fatty acids",0.996413886547089,"Glycerolipids",0.881600797176361,"Unknown",0.420851945877075,"N-acyl amines",0.953833520412445,NA,NA,NA,NA,NA,0.859771,0.57422,"Galactolipid","Digalactosyldiacylglycerol","DGDG",956.6304,"Niarox",70715,"Symbiont","DGDG","DGDG(18:3/18:2) [M+NH4]+","Other",0,0,75.7009345794392,34.5588235294118,NA,NA,NA,NA,NA,NA,65.669014084507
"1221",1221,1221,"x36269_946_77354_14_756",36269,"Sphingolipids","C57H103NO9","[M + H]+","C57H103NO9","Fatty acids",0.999974131584168,"Sphingolipids",0.964640140533447,"Neutral glycosphingolipids",0.985719859600067,"Unknown",0.716696619987488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Neutral GSL",NA,"Neutral GSL",0,0,80.3738317757009,23.5294117647059,NA,NA,NA,NA,NA,NA,66.1971830985916
"1222",1222,1222,"x16833_694_4798_8_056",16833,"Unknown","C39H65N3O6","[M + Na]+","C39H65N3O6","Polyketides",0.879524946212769,"Unknown",0.616957366466522,"Unknown",0.599015653133392,"Unknown",0.807650983333588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,20.5607476635514,16.1764705882353,NA,NA,NA,NA,NA,NA,19.3661971830986
"1223",1223,1223,"x19091_783_61045_8_965",19091,"Hexosylceramides","C44H82N2O9","[M + H]+","C44H82N2O9","Fatty acids",0.956138908863068,"Sphingolipids",0.990817785263062,"Unknown",0.369095504283905,"Unknown",0.510710418224335,NA,NA,NA,NA,NA,0.89306,1.47991,"Neutral Glycosphingolipids","Hexosylceramides","HexCer",783.6093,"Niarox",76945,"Symbiont","HexCer","HexCer(38:4;O3) [M+NH4]+","Other",0,0,70.5607476635514,36.7647058823529,NA,NA,NA,NA,NA,NA,61.9718309859155
"1224",1224,1224,"x15425_800_58176_7_47",15425,"Glycerophospholipids","C44H82NO9P","[M + H]+","C44H82NO9P","Fatty acids",0.99992036819458,"Glycerophospholipids",0.99981015920639,"Glycerophosphocholines",0.962566673755646,"Phosphatidylcholines",0.991837084293366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,87.1495327102804,41.1764705882353,NA,NA,NA,NA,800.5818,"PC",76.056338028169
"1225",1225,1225,"x12833_566_45496_6_371",12833,"Phosphatidylglycerocholines","C30H64NO6P","[M + H]+","C30H64NO6P","Fatty acids",0.999557673931122,"Glycerophospholipids",0.999625325202942,"Glycerophosphocholines",0.999971628189087,"Glycerophosphocholines",0.998102128505707,NA,NA,NA,NA,NA,0.999452,1.07749,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",566.45467,"Niarox",62710,"Host","Lyso-PC(alkyl)","Lyso-PC(O-22:0) [M+H]+","Other",0,0,89.018691588785,63.9705882352941,NA,NA,NA,NA,566.455,"PC",83.0985915492958
"1226",1226,1226,"x39286_573_48745_15_912",39286,"Glycerolipids","C35H66O4","[M + Na]+","C35H66O4","Fatty acids",0.999206602573395,"Glycerolipids",0.975794434547424,"Diacylglycerols",0.907896995544434,"1,2-diacylglycerols",0.900753557682037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","DAG",NA,"DAG",0,5.40647240225305e-05,75.4672897196262,0,NA,NA,NA,NA,NA,NA,56.8661971830986
"1227",1227,1227,"x15248_654_56589_7_434",15248,"Fatty esters","C39H75NO6","[M + H]+","C39H75NO6","Fatty acids",0.999365746974945,"Fatty esters",0.962403476238251,"Unknown",0.588076174259186,"Fatty acid esters",0.986967146396637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,96.2616822429907,58.8235294117647,NA,NA,NA,NA,NA,NA,87.1478873239437
"1228",1228,1228,"x31988_887_69157_13_647",31988,"Glycerolipids","C59H92O4","[M + Na]+","C59H92O4","Unknown",0.805027723312378,"Glycerolipids",0.922440528869629,"Unknown",0.682838380336761,"Fatty acid esters",0.993284702301025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,5.56749194614586e-06,81.7757009345794,30.8823529411765,NA,NA,NA,NA,NA,NA,69.1901408450704
"1229",1229,1229,"x38117_941_6972_15_421",38117,"Sphingolipids","C50H98N2O12","[M + Na]+","C50H98N2O12","Fatty acids",0.9442018866539,"Sphingolipids",0.923467397689819,"Neutral glycosphingolipids",0.876283645629883,"Unknown",0.540372788906097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Neutral GSL",NA,"Neutral GSL",0,0.000917151813048076,81.0747663551402,0,NA,NA,NA,NA,NA,NA,61.0915492957746
"1230",1230,1230,"x14535_666_56626_7_108",14535,"Fatty esters","C40H75NO6","[M + H]+","C40H75NO6","Fatty acids",0.996869385242462,"Fatty esters",0.901815354824066,"Unknown",0.448948919773102,"Fatty acid esters",0.98965185880661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,87.6168224299065,55.1470588235294,NA,NA,NA,NA,NA,NA,79.7535211267606
"1231",1231,1231,"x14571_764_53082_7_104",14571,"Monogalactosyldiacylglycerol","C43H73NO10","[M + H]+","C43H73NO10","Fatty acids",0.999628305435181,"Glycerolipids",0.973023951053619,"Unknown",0.774284303188324,"Unknown",0.750968515872955,NA,NA,NA,NA,NA,0.913723,0.159667,"Galactolipid","Monogalactosyldiacylglycerol","MGDG",764.5307,"KARP",95012,"Symbiont","MGDG","MGDG(16:3/18:3) [M+NH4]+","MGDG",0,0,85.2803738317757,52.9411764705882,NA,NA,NA,NA,NA,NA,77.2887323943662
"1232",1232,1232,"x23033_1098_71496_11_09",23033,"Unknown","C68H95N3O9","[M + H]+","C68H95N3O9","Unknown",0.647124409675598,"Unknown",0.811163485050201,"Triacylglycerols",0.94033294916153,"Fatty acid esters",0.873975992202759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","TAG",NA,"TAG",0,0,75.2336448598131,34.5588235294118,NA,NA,NA,NA,NA,NA,65.4929577464789
"1233",1233,1233,"x7702_375_30469_4_456",7702,"Unknown","C28H38","[M + H]+","C28H38","Terpenoids",0.982108175754547,"Unknown",0.149567142128944,"Unknown",0.0642652660608292,"Unknown",0.559613525867462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,88.3177570093458,76.4705882352941,375.30469,4.456,"12:0",NA,NA,NA,85.387323943662
"1234",1234,1234,"x2484_295_1722_2_475",2484,"Unknown","C17H26O2S","[M + H]+","C17H26O2S","Unknown",0.557559549808502,"Unknown",0.36352813243866,"Unknown",0.0447464138269424,"Thiophenol ethers",0.960771143436432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,33.1775700934579,12.5,NA,NA,NA,NA,NA,NA,27.9929577464789
"1235",1235,1235,"x39969_968_89918_16_204",39969,"Unknown","C37H29BrI2N2O5S","[M + Na]+","C37H29BrI2N2O5S","Unknown",0.726143658161163,"Unknown",0.0351964458823204,"Unknown",0.178520679473877,"Unknown",0.800229787826538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,18.6915887850467,55.1470588235294,968.89918,16.204,"20:4","MADAG(60:5) [M+NH4]+",NA,NA,27.6408450704225
"1236",1236,1236,"x38628_976_8291_15_615",38628,"Triacylglycerols","C54H105N9O6","[M + H]+","C54H105N9O6","Amino acids and Peptides",0.885047078132629,"Unknown",0.79069048166275,"Unknown",0.545147955417633,"Unknown",0.768985033035278,NA,NA,NA,NA,NA,0.861175,1.43711,"Glycerolipid","Triacylglycerols","Triacylglycerols",976.83048,"Niarox",116971,"Both","TAG","TAG(16:0/16:0/28:8) [M+NH4]+","TAG",0,0,88.3177570093458,36.0294117647059,976.8291,15.615,"28:8","TAG(16:0/16:0/28:8) [M+NH4]+",NA,NA,75.7042253521127
"1237",1237,1237,"x3598_615_40399_3_14",3598,"Carotenoids (C40)","C38H56O5","[M + Na]+","C38H56O5","Terpenoids",0.993394911289215,"Carotenoids (C40)",0.98664140701294,"Carotenoids (C40, Î²-Î²)",0.993078529834747,"Unknown",0.684329271316528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,0,79.4392523364486,38.9705882352941,NA,NA,NA,NA,NA,NA,69.7183098591549
"1238",1238,1238,"x20491_707_54171_9_704",20491,"Unknown","C41H72N4O4","[M + Na]+","C41H72N4O4","Unknown",0.123989969491959,"Unknown",0.103679724037647,"Unknown",0.212903663516045,"Unknown",0.550921618938446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,91.8224299065421,76.4705882352941,NA,NA,NA,NA,NA,NA,88.0281690140845
"1239",1239,1239,"x19106_662_51796_8_971",19106,"Unknown","C36H71NO9","[M + H]+","C36H71NO9","Fatty acids",0.972108483314514,"Unknown",0.595374345779419,"Neutral glycosphingolipids",0.850847482681274,"Unknown",0.677716910839081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Neutral GSL",NA,"Neutral GSL",0,0,23.8317757009346,8.08823529411765,NA,NA,NA,NA,662.518,"PC",19.8943661971831
"1240",1240,1240,"x29054_494_52978_12_999",29054,"Unknown","C33H67NO","[M + H]+","C33H67NO","Unknown",0.647677719593048,"Unknown",0.687115728855133,"Unknown",0.232336536049843,"Unknown",0.815201044082642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,96.0280373831776,100,NA,NA,NA,NA,NA,NA,97.0070422535211
"1241",1241,1241,"x10386_953_59278_5_38",10386,"Unknown","C63H76N4O4","[M + H]+","C63H76N4O4","Unknown",0.442840069532394,"Unknown",0.28650039434433,"Unknown",0.0134710762649774,"Unknown",0.772885024547577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,80.1401869158879,41.9117647058824,NA,NA,NA,NA,NA,NA,70.9507042253521
"1242",1242,1242,"x11450_583_41511_5_783",11450,"Carotenoids (C40)","C40H54O3","[M + H]+","C40H54O3","Terpenoids",0.999729335308075,"Carotenoids (C40)",0.994894862174988,"Unknown",0.356607049703598,"Unknown",0.596777379512787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,65.4205607476635,41.9117647058824,NA,NA,NA,NA,NA,NA,59.8591549295775
"1243",1243,1243,"x7882_804_5383_4_502",7882,"Glycerophospholipids","C40H80NO11P","[M + Na]+","C40H80NO11P","Fatty acids",0.999983429908752,"Glycerophospholipids",0.999995231628418,"Oxidized glycerophospholipids",0.997946321964264,"Phosphatidylcholines",0.94504588842392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","OxPL",NA,"OxPL",0,0,82.2429906542056,50.7352941176471,NA,NA,NA,NA,804.5383,"PC",74.6478873239437
"1244",1244,1244,"x15633_666_56715_7_53",15633,"Fatty esters","C40H75NO6","[M + H]+","C40H75NO6","Fatty acids",0.997067153453827,"Fatty esters",0.89129763841629,"Unknown",0.493282586336136,"Fatty acid esters",0.991346418857574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,3.2074309086226e-05,90.4205607476635,62.5,NA,NA,NA,NA,NA,NA,83.6267605633803
"1245",1245,1245,"x19471_722_51277_9_168",19471,"Unknown","C43H67N3O6","[M + H]+","C43H67N3O6","Unknown",0.622982084751129,"Unknown",0.424123853445053,"Unknown",0.422825783491135,"Unknown",0.519901037216187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0.000372097762623293,83.411214953271,26.4705882352941,NA,NA,NA,NA,NA,NA,69.3661971830986
"1246",1246,1246,"x3287_256_26319_3_015",3287,"Unknown","C16H33NO","[M + H]+","C16H33NO","Fatty acids",0.992399275302887,"Unknown",0.717515766620636,"Unknown",0.70096480846405,"Unknown",0.524780809879303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,89.4859813084112,94.1176470588235,NA,NA,NA,NA,NA,NA,90.4929577464789
"1247",1247,1247,"x4614_608_42918_3_512",4614,"Phosphatidylglycerocholines","C31H62NO8P","[M + H]+","C31H62NO8P","Fatty acids",0.999606192111969,"Glycerophospholipids",0.999971151351929,"Glycerophosphocholines",0.850445032119751,"Unknown",0.747359037399292,NA,NA,NA,NA,NA,0.99536,1.00316,"Phospholipid","Phosphatidylglycerocholines","Oxidized Lyso-PC(acyl)",608.4286,"KARP",39199,"Host","Oxidized Lyso-PC(acyl)","Lyso-PC(23:1;O) [M+H]+","Other",0,0,87.8504672897196,52.9411764705882,NA,NA,NA,NA,608.4292,"PC",79.4014084507042
"1248",1248,1248,"x13048_796_57303_6_463",13048,"Diacylglyceryl-carboxyhydroxymethylcholines","C41H82NO11P","[M + H]+","C41H82NO11P","Fatty acids",0.999882102012634,"Glycerophospholipids",0.999981045722961,"Oxidized glycerophospholipids",0.977311789989471,"Phosphatidylcholines",0.932300448417664,NA,NA,NA,NA,NA,0.966829,0.766222,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",796.572369,"Niarox",59352,"Symbiont","DGCC","DGCC(38:8) [M+H]+","DGCC",0,0,64.9532710280374,33.0882352941176,NA,NA,NA,NA,NA,NA,56.8661971830986
"1249",1249,1249,"x12382_973_52783_6_174",12382,"Unknown","C41H72N12O15","[M + H]+","C41H72N12O15","Unknown",0.792743623256683,"Unknown",0.813584387302399,"Unknown",0.13037072122097,"Unknown",0.569293200969696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,82.4766355140187,30.1470588235294,NA,NA,NA,NA,NA,NA,69.3661971830986
"1250",1250,1250,"x21130_755_57782_10_015",21130,"Unknown","C41H81BN2O5PS","[M + H]+","C41H81BN2O5PS","Fatty acids",0.999939918518066,"Unknown",0.406083256006241,"Unknown",0.509392917156219,"N-acyl amines",0.885408699512482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,86.9158878504673,64.7058823529412,NA,NA,NA,NA,755.5778,"PC",81.5140845070423
"1251",1251,1251,"x1890_780_43266_1_98",1890,"Unknown","C44H61NO11","[M + H]+","C44H61NO11","Unknown",0.642848372459412,"Unknown",0.388509184122086,"Unknown",0.25367859005928,"Unknown",0.562903463840485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,4.41176470588235,NA,NA,NA,NA,NA,NA,1.05633802816901
"1252",1252,1252,"x17130_906_74101_8_167",17130,"Oligopeptides","C50H95N7O7","[M + H]+","C50H95N7O7","Amino acids and Peptides",0.962376415729523,"Oligopeptides",0.898268699645996,"Unknown",0.727014303207397,"Unknown",0.807503521442413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,11.7647058823529,NA,NA,NA,NA,NA,NA,2.8169014084507
"1253",1253,1253,"x23823_958_63698_11_535",23823,"Phosphatidylglyceroinositols","C53H87N3O12","[M + H]+","C53H87N3O12","Unknown",0.558000802993774,"Unknown",0.160307556390762,"Unknown",0.248885318636894,"Unknown",0.513165056705475,NA,NA,NA,NA,NA,0.882147,0.891361,"Phospholipid","Phosphatidylglyceroinositols","PI (diacyl)",958.6379,"KARP",154393,"Host","PI (diacyl)","PI(42:5) [M+NH4]+","Other",0,0.00107650259981768,96.7289719626168,47.0588235294118,NA,NA,NA,NA,NA,NA,84.6830985915493
"1254",1254,1254,"x19941_445_3675_9_387",19941,"Unknown","C29H48O3","[M + H]+","C29H48O3","Terpenoids",0.95120120048523,"Unknown",0.236968904733658,"Unknown",0.706741988658905,"Unknown",0.817354261875153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,93.4579439252336,75,NA,NA,NA,NA,NA,NA,88.9084507042253
"1255",1255,1255,"x1221_309_20602_1_503",1221,"Unknown","C18H28O4","[M + H]+","C18H28O4","Unknown",0.688961148262024,"Unknown",0.402082741260529,"Unknown",0.289081335067749,"Fatty acid esters",0.860977947711945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,74.0654205607477,63.9705882352941,NA,NA,NA,NA,NA,NA,71.4788732394366
"1256",1256,1256,"x34614_956_79007_14_277",34614,"Unknown","C61H107NO3S","[M + Na]+","C61H107NO3S","Fatty acids",0.998779594898224,"Unknown",0.604499995708466,"Unknown",0.503054738044739,"N-acyl amines",0.993362426757812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,80.607476635514,13.2352941176471,NA,NA,NA,NA,NA,NA,63.9084507042254
"1257",1257,1257,"x14456_494_36322_7_05",14456,"Unknown","C32H47NO3","[M + H]+","C32H47NO3","Alkaloids",0.930796086788178,"Unknown",0.661017894744873,"Steroidal alkaloids",0.973697662353516,"Spirosolanes and derivatives",0.94338458776474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Steroidal alkaloids",NA,"Other",0,0,6.77570093457944,0,NA,NA,NA,NA,NA,NA,5.1056338028169
"1258",1258,1258,"x2453_1013_65385_2_452",2453,"Unknown","C64H86N4O5","[M + Na]+","C64H86N4O5","Unknown",0.699638485908508,"Unknown",0.170329630374908,"Unknown",0.0564880892634392,"Unknown",0.656915366649628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,52.1028037383178,41.9117647058824,NA,NA,NA,NA,NA,NA,49.4718309859155
"1259",1259,1259,"x4_320_09707_0_599",4,"Nucleosides","C11H15N5O5","[M + Na]+","C11H15N5O5","Carbohydrates",0.990700602531433,"Nucleosides",0.987887263298035,"Purine nucleos(t)ides",0.941758036613464,"Purine nucleosides",0.999915361404419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Purine nucleos(t)ides",NA,"Other",0,0,2.80373831775701,0,NA,NA,NA,NA,NA,NA,2.11267605633803
"1260",1260,1260,"x24478_795_63847_11_769",24478,"Sphingolipids","C44H89N2O6P","[M + Na]+","C44H89N2O6P","Fatty acids",0.999795615673065,"Sphingolipids",0.999700903892517,"Phosphosphingolipids",0.996346056461334,"Phosphosphingolipids",0.999451816082001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Phosphosphingolipids",NA,"Phosphosphingolipids",0,0,30.1401869158879,6.61764705882353,NA,NA,NA,NA,795.6385,"PC",24.2957746478873
"1261",1261,1261,"x39885_551_50296_16_166",39885,"Glycerolipids","C35H66O4","[M + H]+","C35H66O4","Fatty acids",0.992423295974731,"Glycerolipids",0.97174721956253,"Unknown",0.459074109792709,"Unknown",0.596107542514801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,79.9065420560748,9.55882352941176,NA,NA,NA,NA,NA,NA,62.8521126760563
"1262",1262,1262,"x19979_1350_07881_9_391",19979,"Sphingolipids","C81H150N2O7S2","[M + Na]+","C81H150N2O7S2","Fatty acids",0.999916434288025,"Sphingolipids",0.997079014778137,"Unknown",0.687882840633392,"Sphingolipids",0.897415339946747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,6.01788113490952e-05,0,9.55882352941176,NA,NA,NA,NA,NA,NA,2.8169014084507
"1263",1263,1263,"x13435_764_53045_6_619",13435,"Monogalactosyldiacylglycerol","C43H73NO10","[M + H]+","C43H73NO10","Fatty acids",0.998419046401978,"Glycerolipids",0.90174150466919,"Unknown",0.107313096523285,"Unknown",0.608504235744476,NA,NA,NA,NA,NA,0.917695,0.399167,"Galactolipid","Monogalactosyldiacylglycerol","MGDG",764.5307,"Niarox",60750,"Symbiont","MGDG","MGDG(16:2/18:4) [M+NH4]+","MGDG",0,0,80.1401869158879,51.4705882352941,NA,NA,NA,NA,NA,NA,73.0633802816901
"1264",1264,1264,"x4169_1021_72075_3_392",4169,"Unknown","C58H94N8O6","[M + Na]+","C58H94N8O6","Amino acids and Peptides",0.893535435199738,"Unknown",0.836842060089111,"Unknown",0.641366899013519,"Unknown",0.736717104911804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,2.94117647058824,NA,NA,NA,NA,NA,NA,0.704225352112676
"1265",1265,1265,"x379_327_21579_1_014",379,"Unknown","C18H30O5","[M + H]+","C18H30O5","Unknown",0.322819709777832,"Unknown",0.500600934028625,"Unknown",0.182439610362053,"Unknown",0.537095606327057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,74.7663551401869,55.8823529411765,NA,NA,NA,NA,NA,NA,70.0704225352113
