metabolite,pepmass,RT,fatty_acid,feature_id,compound_class,compound_name,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,coraldb_compound_name
x32113_570_52527_13_704,570.52527,13.704,18:0,32113,Unknown,NA,C38H67NO2,[M + H]+,C38H67NO2,Fatty acids,0.9995322227478028,Unknown,0.7489752769470215,Unknown,0.5283122062683105,N-acyl amines,0.9710182547569276,NA,NA,NA,NA,NA,NA,NA,NA,NA
x27749_662_57157_12_662,662.57157,12.662,18:0,27749,Diacylglycerols,DAG(16:0/22:4) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Diacylglycerols,Diacylglycerols,DAG(16:0/22:4) [M+NH4]+
x38989_1000_82878_15_768,1000.82878,15.768,18:0,38989,Triacylglycerols,TAG(16:0/18:3/28:7) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/18:3/28:7) [M+NH4]+
x40207_864_84029_16_319,864.84029,16.319,18:0,40207,MADAG,MADAG(O-18:0/16:0/18:1) / (O-18:0/14:0/20:1) [M+NH4]+,C55H106O5,[M + H3N + H]+,C55H109NO5,Fatty acids,0.9997527003288268,Glycerolipids,0.9985910058021544,Triacylglycerols,0.9997218251228333,Triacylglycerols,0.9375562071800232,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(O-18:0/16:0/18:1) / (O-18:0/14:0/20:1) [M+NH4]+
x41596_914_85546_17_336,914.85546,17.336,18:0,41596,MADAG,MADAG(56:4) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(56:4) [M+NH4]+
x20147_516_47843_9_503,516.47843,9.503,18:0,20147,Unknown,NA,C34H61NO2,[M + H]+,C34H61NO2,Fatty acids,0.9490548968315125,Unknown,0.5936523675918579,Unknown,0.6532688140869141,Unknown,0.5931985974311829,NA,NA,NA,NA,NA,NA,NA,NA,NA
x41546_932_86601_17_263,932.86601,17.263,18:0,41546,Unknown,NA,C25H32I4N2O4,[M + H]+,C25H32I4N2O4,Unknown,0.5043905377388,Unknown,0.08211412280797958,Unknown,0.08541830629110336,Unknown,0.687118411064148,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8286_358_36825_4_637,358.36825,4.637,18:0,8286,Unknown,NA,C22H47NO2,[M + H]+,C22H47NO2,Fatty acids,0.9993481040000916,Unknown,0.8437461853027344,Unknown,0.09281844645738602,Unknown,0.8092440366744995,NA,NA,NA,NA,NA,NA,NA,NA,NA
x25077_590_5509_11_94,590.5509,11.94,18:0,25077,Unknown,NA,C38H71NO3,[M + H]+,C38H71NO3,Unknown,0.7222278714179993,Triterpenoids,0.8965625762939453,Unknown,0.5793038606643677,Triterpenoids,0.9711093902587892,NA,NA,NA,NA,NA,NA,NA,NA,NA
x15968_680_5837_7_664,680.5837,7.664,18:0,15968,Unknown,NA,C41H77NO6,[M + H]+,C41H77NO6,Fatty acids,0.9973211884498596,Unknown,0.6441990733146667,Unknown,0.298363596200943,Unknown,0.8269777894020081,NA,NA,NA,NA,NA,NA,NA,NA,NA
x30409_716_61874_13_319,716.61874,13.319,18:0,30409,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x27783_688_58586_12_672,688.58586,12.672,18:0,27783,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x11459_386_39885_5_793,386.39885,5.793,18:0,11459,Unknown,NA,C24H51NO2,[M + H]+,C24H51NO2,Fatty acids,0.9989848732948304,Unknown,0.7739361524581909,Unknown,0.567651093006134,N-acyl amines,0.9348374009132384,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40085_916_86895_16_242,916.86895,16.242,18:0,40085,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40599_934_88001_16_521,934.88001,16.521,18:0,40599,Triacylglycerols,NA,C59H115NO6,[M + H]+,C59H115NO6,Fatty acids,0.9969167709350586,Glycerolipids,0.9063903093338012,Triacylglycerols,0.995234191417694,Unknown,0.7851100564002991,NA,NA,NA,NA,NA,NA,NA,NA,NA
x39923_850_82507_16_185,850.82507,16.185,18:0,39923,Triacylglycerols,NA,C54H104O5,[M + H3N + H]+,C54H107NO5,Fatty acids,0.9997219443321228,Glycerolipids,0.9985985159873962,Triacylglycerols,0.9997335076332092,Triacylglycerols,0.9462357759475708,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8413_472_36425_4_684,472.36425,4.684,18:0,8413,Unknown,NA,C26H49NO6,[M + H]+,C26H49NO6,Unknown,0.7423776984214783,Unknown,0.5033935308456421,Unknown,0.1305597424507141,Unknown,0.556077241897583,NA,NA,NA,NA,NA,NA,NA,NA,NA
x33991_796_70386_14_131,796.70386,14.131,18:0,33991,Triacylglycerols,NA,C48H93NO7,[M + H]+,C48H93NO7,Fatty acids,0.9991322159767152,Unknown,0.7965245842933655,Triacylglycerols,0.9897470474243164,N-acyl amines,0.8993501663208008,NA,NA,NA,NA,NA,NA,NA,NA,NA
x28449_662_56951_12_84,662.56951,12.84,18:0,28449,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x32092_796_70315_13_703,796.70315,13.703,18:0,32092,Unknown,NA,C14H12I4N2O5,[M + H]+,C14H12I4N2O5,Unknown,0.5374858379364014,Small peptides,0.8806518912315369,Unknown,0.17743222415447235,Unknown,0.6004092693328857,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40527_942_8461_16_471,942.8461,16.471,18:0,40527,Triacylglycerols,NA,C60H111NO6,[M + H]+,C60H111NO6,Fatty acids,0.9985431432724,Glycerolipids,0.9946118593215942,Triacylglycerols,0.9999850988388062,Triacylglycerols,0.9889178276062012,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8570_567_43907_4_743,567.43907,4.743,18:0,8570,Unknown,NA,C32H58N2O6,[M + H]+,C32H58N2O6,Amino acids and Peptides,0.8584832549095154,Unknown,0.5760365724563599,Unknown,0.3421448767185211,Unknown,0.5790897011756897,NA,NA,NA,NA,NA,NA,NA,NA,NA
x24784_588_53567_11_863,588.53567,11.863,18:0,24784,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40641_892_87146_16_547,892.87146,16.547,18:0,40641,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
