"","metabolite","pepmass","RT","fatty_acid","feature_id","compound_class","compound_name","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","coraldb_compound_name","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","total_ubiquity","is_super_core","ubiquity_diff"
"109","x4028_416_30125_3_321",416.30125,3.321,"14:0",4028,"Unknown",NA,"C22H41NO6","[M + H]+","C22H41NO6","Unknown",0.354488223791122,"Unknown",0.20666478574276,"Unknown",0.377253204584122,"Unknown",0.639945209026337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.78277620291541e-05,57.0093457943925,68.3823529411765,59.5070422535211,FALSE,-11.373007146784
"110","x37746_782_72212_15_293",782.72212,15.293,"14:0",37746,"Unknown",NA,"C44H91N7O4","[M + H]+","C44H91N7O4","Fatty acids",0.914057552814484,"Unknown",0.135634616017342,"Unknown",0.206957519054413,"Unknown",0.695996224880219,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,74.2990654205608,94.8529411764706,79.4014084507042,FALSE,-20.5538757559098
"111","x13681_391_33628_6_723",391.33628,6.723,"14:0",13681,"Unknown",NA,"C29H42","[M + H]+","C29H42","Terpenoids",0.997414112091064,"Unknown",0.0770305544137955,"Unknown",0.0276313032954931,"Unknown",0.741596877574921,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,44.392523364486,42.6470588235294,43.6619718309859,FALSE,1.7454645409566
"112","x20925_580_49296_9_91",580.49296,9.91,"14:0",20925,"Diacylglycerols","DAG(14:0/18:3) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Diacylglycerols","Diacylglycerols","DAG(14:0/18:3) [M+NH4]+",0,0.00233418824287565,17.2897196261682,96.3235294117647,36.2676056338028,FALSE,-79.0338097855965
"113","x38121_754_69326_15_437",754.69326,15.437,"14:0",38121,"Triacylglycerols",NA,"C46H91NO6","[M + H]+","C46H91NO6","Fatty acids",0.999771654605866,"Glycerolipids",0.998277187347412,"Triacylglycerols",0.999832272529602,"Triacylglycerols",0.999270141124725,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,66.1214953271028,0,49.8239436619718,FALSE,66.1214953271028
"114","x4106_499_3757_3_35",499.3757,3.35,"14:0",4106,"Unknown",NA,"C27H50N2O6","[M + H]+","C27H50N2O6","Unknown",0.809483647346497,"Unknown",0.552270829677582,"Unknown",0.405324459075928,"Unknown",0.774609446525574,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,37.1495327102804,63.2352941176471,43.1338028169014,FALSE,-26.0857614073667
"115","x36840_794_72207_14_99",794.72207,14.99,"14:0",36840,"Triacylglycerols","TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+",0,0,24.0654205607477,99.2647058823529,42.6056338028169,FALSE,-75.1992853216052
"116","x40938_1148_97752_16_726",1148.97752,16.726,"14:0",40938,"Triacylglycerols",NA,"C71H131NO8","[M + Na]+","C71H131NO8","Fatty acids",0.999346554279327,"Unknown",0.33042848110199,"Triacylglycerols",0.856181442737579,"Unknown",0.652588129043579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,39.7196261682243,0,29.9295774647887,FALSE,39.7196261682243
"117","x41327_1074_96491_17_039",1074.96491,17.039,"14:0",41327,"Triacylglycerols",NA,"C67H127NO8","[M + H]+","C67H127NO8","Fatty acids",0.999629259109497,"Glycerolipids",0.998517096042633,"Triacylglycerols",0.99999737739563,"Triacylglycerols",0.999995470046997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,37.1495327102804,0,27.9929577464789,FALSE,37.1495327102804
"118","x6519_328_32138_4_097",328.32138,4.097,"14:0",6519,"Unknown",NA,"C20H41NO2","[M + H]+","C20H41NO2","Fatty acids",0.881487786769867,"Fatty amides",0.869213283061981,"Unknown",0.47605174779892,"N-acyl amines",0.942308485507965,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,78.9719626168224,96.3235294117647,83.0985915492958,FALSE,-17.3515667949423
"119","x41068_1098_96325_16_838",1098.96325,16.838,"14:0",41068,"Triacylglycerols",NA,"C69H127NO8","[M + H]+","C69H127NO8","Fatty acids",0.996852099895477,"Unknown",0.828382432460785,"Triacylglycerols",0.988184571266174,"N-acyl amines",0.984300553798676,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,41.588785046729,0,31.3380281690141,FALSE,41.588785046729
"120","x37667_780_7068_15_271",780.7068,15.271,"14:0",37667,"Triacylglycerols",NA,"C48H93NO6","[M + H]+","C48H93NO6","Fatty acids",0.998696625232696,"Unknown",0.845981359481812,"Triacylglycerols",0.920843005180359,"N-acyl amines",0.926093220710754,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,59.1121495327103,0,44.5422535211268,FALSE,59.1121495327103
"121","x27366_614_54959_12_594",614.54959,12.594,"14:0",27366,"Unknown",NA,"C40H71NO3","[M + H]+","C40H71NO3","Fatty acids",0.935532987117767,"Unknown",0.26146873831749,"Unknown",0.104620255529881,"Unknown",0.801111459732056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,71.7289719626168,53.6764705882353,67.2535211267606,FALSE,18.0525013743815
"122","x40421_1146_96127_16_426",1146.96127,16.426,"14:0",40421,"Unknown",NA,"C38H19F21O9S4","[M + H]+","C38H19F21O9S4","Unknown",0.492256492376328,"Unknown",0.393610864877701,"Unknown",0.125026389956474,"Unknown",0.504205346107483,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40.6542056074766,0,30.6338028169014,FALSE,40.6542056074766
"123","x41501_1102_99526_17_158",1102.99526,17.158,"14:0",41501,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,30.3738317757009,0,22.887323943662,FALSE,30.3738317757009
"124","x34031_762_66149_14_199",762.66149,14.199,"14:0",34031,"Triacylglycerols","TAG(12:0/14:0/18:3) / TAG(14:0/14:0/16:3) [M+NH4]+","C47H87NO6","[M + H]+","C47H87NO6","Fatty acids",0.997192203998566,"Unknown",0.53041136264801,"Unknown",0.536624133586884,"N-acyl amines",0.939890027046204,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(12:0/14:0/18:3) / TAG(14:0/14:0/16:3) [M+NH4]+",0,9.46880618258172e-05,37.6168224299065,39.7058823529412,37.8521126760563,FALSE,-2.0890599230347
"125","x36754_780_70808_14_971",780.70808,14.971,"14:0",36754,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,55.607476635514,89.7058823529412,64.0845070422535,FALSE,-34.0984057174272
"126","x28570_738_62556_12_908",738.62556,12.908,"14:0",28570,"Unknown",NA,"C44H83NO7","[M + H]+","C44H83NO7","Fatty acids",0.985645711421967,"Sphingolipids",0.987552881240845,"Unknown",0.297061592340469,"N-acyl amines",0.942265808582306,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,57.0093457943925,7.35294117647059,44.7183098591549,FALSE,49.6564046179219
"127","x2606_382_29533_2_57",382.29533,2.57,"14:0",2606,"Unknown",NA,"C22H39NO4","[M + H]+","C22H39NO4","Unknown",0.770470321178436,"Unknown",0.234771803021431,"Unknown",0.44421648979187,"Unknown",0.63822340965271,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,38.3177570093458,19.1176470588235,33.4507042253521,FALSE,19.2001099505223
"128","x23731_586_5214_11_481",586.5214,11.481,"14:0",23731,"Unknown",NA,"C38H67NO3","[M + H]+","C38H67NO3","Fatty acids",0.980965077877045,"Unknown",0.573761701583862,"Unknown",0.231483027338982,"N-acyl amines",0.988545835018158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,72.6635514018692,27.9411764705882,61.6197183098592,FALSE,44.722374931281
"129","x8202_484_41591_4_603",484.41591,4.603,"14:0",8202,"Unknown",NA,"C32H53NO2","[M + H]+","C32H53NO2","Unknown",0.765074908733368,"Unknown",0.800991117954254,"Unknown",0.391998440027237,"Unknown",0.699938893318176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.03738317757009,3.67647058823529,3.16901408450704,FALSE,-0.6390874106652
"130","x41618_1076_98308_17_372",1076.98308,17.372,"14:0",41618,"Triacylglycerols",NA,"C67H129NO8","[M + H]+","C67H129NO8","Fatty acids",0.99983549118042,"Glycerolipids",0.999489188194275,"Triacylglycerols",0.999998331069946,"Triacylglycerols",0.999975442886352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,34.1121495327103,0,25.7042253521127,FALSE,34.1121495327103
"131","x40927_782_76171_16_727",782.76171,16.727,"14:0",40927,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,37.3831775700935,0,28.169014084507,FALSE,37.3831775700935
"132","x4686_326_30551_3_539",326.30551,3.539,"14:0",4686,"Unknown",NA,"C20H39NO2","[M + H]+","C20H39NO2","Fatty acids",0.866919696331024,"Unknown",0.676251292228699,"Unknown",0.582379400730133,"1,2-aminoalcohols",0.868617713451385,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.25402260030435e-06,67.7570093457944,72.0588235294118,68.6619718309859,FALSE,-4.3018141836174
