metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x11186_750_56143_5_661,11186,Unknown,C42H75N3O8,[M + H]+,C42H75N3O8,Unknown,0.6775140762329102,Unknown,0.8271608352661133,Unknown,0.3620002865791321,Unknown,0.7490367889404297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x31134_747_61178_13_461,31134,Polyprenols,C44H84O7,[M + Na]+,C44H84O7,Terpenoids,0.9953500032424928,Polyprenols,0.999883770942688,Polyprenol derivatives,0.9999998807907104,Unknown,0.6732457280158997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Polyprenol derivatives,NA
x5101_571_29759_3_661,5101,Unknown,C31H38N8OS,[M + H]+,C31H38N8OS,Alkaloids,0.9961774349212646,Unknown,0.8434812426567078,Unknown,0.6043047308921814,Amino acids and derivatives,0.9219407439231871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x14062_584_5054_6_926,14062,Unknown,C35H69NO3S,[M + H]+,C35H69NO3S,Fatty acids,0.901236653327942,Unknown,0.16949327290058136,Unknown,0.08328939229249954,Unknown,0.6522543430328369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x14782_563_38915_7_187,14782,Unknown,C32H52BNO5,[M + Na]+,C32H52BNO5,Unknown,0.41926002502441406,Unknown,0.6175676584243774,Unknown,0.6089535355567932,Steroidal alkaloids,0.8786081671714783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x31547_936_78516_13_628,31547,Sphingolipids,C56H105NO9,[M + H]+,C56H105NO9,Fatty acids,0.9761369824409484,Sphingolipids,0.991258442401886,Neutral glycosphingolipids,0.9801223874092102,Unknown,0.5462417006492615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Neutral glycosphingolipids,NA
x6103_1031_76999_3_952,6103,Unknown,C60H104N4O8,[M + Na]+,C60H104N4O8,Unknown,0.5198001861572266,Unknown,0.6236735582351685,Unknown,0.19981098175048828,Unknown,0.576761782169342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x24026_850_55174_11_617,24026,Unknown,C40H71N11O9,[M + H]+,C40H71N11O9,Amino acids and Peptides,0.9860974550247192,Unknown,0.840575635433197,Unknown,0.5602852702140808,Unknown,0.7498332858085632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x3904_748_47676_3_296,3904,Glycerophospholipids,C38H70NO11P,[M + H]+,C38H70NO11P,Fatty acids,0.999876856803894,Glycerophospholipids,0.9999508857727052,Oxidized glycerophospholipids,0.9999021291732788,Phosphatidylcholines,0.8810746073722839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Oxidized glycerophospholipids,NA
x5072_434_36337_3_679,5072,Unknown,C27H47NO3,[M + H]+,C27H47NO3,Unknown,0.21356326341629028,Unknown,0.06007328256964683,Unknown,0.20146407186985016,Unknown,0.5012917518615723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x17156_559_41491_8_163,17156,Carotenoids (C40),C38H54O3,[M + H]+,C38H54O3,Terpenoids,0.9939966201782228,Carotenoids (C40),0.9104000329971312,Unknown,0.8225411176681519,Unknown,0.5521225929260254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x3394_1318_92431_3_055,3394,Unknown,C71H135N3O12S3,[M + H]+,C71H135N3O12S3,Polyketides,0.9838952422142028,Unknown,0.536303699016571,Unknown,0.05737827345728874,Unknown,0.5135043263435364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x18676_602_45844_8_769,18676,Unknown,C40H59NO3,[M + H]+,C40H59NO3,Unknown,0.6985600590705872,Unknown,0.2398666888475418,Unknown,0.3552781939506531,Unknown,0.713365912437439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x6697_608_47419_4_145,6697,Sphingolipids,C31H66N3O6P,[M + H]+,C31H66N3O6P,Fatty acids,0.9994444251060486,Sphingolipids,0.9991670846939088,Phosphosphingolipids,0.8923348784446716,Phosphosphingolipids,0.980755627155304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Phosphosphingolipids,NA
x12463_770_55638_6_203,12463,Unknown,C44H77NO8,[M + Na]+,C44H77NO8,Fatty acids,0.99223655462265,Unknown,0.2538244128227234,Unknown,0.21260800957679749,Cholines,0.9333067536354064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
