metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x6543_517_32984_4_105,6543,Unknown,C32H46O4,[M + Na]+,C32H46O4,Terpenoids,0.9751190543174744,Unknown,0.6206503510475159,Unknown,0.25710588693618774,Triterpenoids,0.8976612091064453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x7568_820_51889_4_385,7568,Macrolides,C45H73NO12,[M + H]+,C45H73NO12,Polyketides,0.9536927342414856,Macrolides,0.9797455668449402,Unknown,0.7334762811660767,Unknown,0.6096470355987549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x6266_1337_93609_4_013,6266,Oligopeptides,C63H120N18O13,[M + H]+,C63H120N18O13,Amino acids and Peptides,0.935613453388214,Oligopeptides,0.9721695780754088,Unknown,0.6502753496170044,Peptides,0.9789628386497498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x22773_1001_65541_10_902,22773,Oligopeptides,C54H84N10O8,[M + H]+,C54H84N10O8,Amino acids and Peptides,0.9419299960136414,Oligopeptides,0.855088472366333,Unknown,0.5452757477760315,Unknown,0.5652894973754883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x22090_667_52762_10_493,22090,Glycerolipids,C43H70O5,[M + H]+,C43H70O5,Fatty acids,0.9956234097480774,Glycerolipids,0.994617760181427,Triacylglycerols,0.9736822843551636,Unknown,0.8317515850067139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Triacylglycerols,NA
x30123_753_64329_13_256,30123,Unknown,C43H84N4O6,[M + H]+,C43H84N4O6,Amino acids and Peptides,0.9123464822769164,Unknown,0.848903238773346,Unknown,0.6797342300415039,Unknown,0.7596649527549744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x1886_373_27372_1_978,1886,Steroids,C24H36O3,[M + H]+,C24H36O3,Terpenoids,0.9755328297615052,Steroids,0.9876922965049744,Unknown,0.5731171369552612,Unknown,0.6082964539527893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x16427_692_48936_7_823,16427,Triterpenoids,C41H67NO6,[M + Na]+,C41H67NO6,Terpenoids,0.9980127811431884,Triterpenoids,0.9703087210655212,Oleanane triterpenoids,0.9919745326042176,Triterpenoids,0.9856657385826112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Oleanane triterpenoids,NA
x19598_576_49852_9_188,19598,Unknown,C36H65NO4,[M + H]+,C36H65NO4,Terpenoids,0.9649677872657776,Unknown,0.31033986806869507,Unknown,0.0887567549943924,Unknown,0.6497072577476501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x5749_454_29597_3_785,5749,Eicosanoids,C28H39NO4,[M + H]+,C28H39NO4,Fatty acids,0.9887958765029908,Eicosanoids,0.9753291606903076,Prostaglandins,0.9960506558418274,Prostaglandins and related compounds,0.994566798210144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Prostaglandins,NA
x27647_1065_569_12_631,27647,Oligopeptides,C49H78N12O13,[M + Na]+,C49H78N12O13,Amino acids and Peptides,0.9935882091522216,Oligopeptides,0.9790505766868592,Cyclic peptides,0.9659051299095154,Unknown,0.74513179063797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Cyclic peptides,NA
x24425_880_64843_11_749,24425,Unknown,C42H81N13O7,[M + H]+,C42H81N13O7,Amino acids and Peptides,0.90268737077713,Unknown,0.8320689797401428,Unknown,0.6892042756080627,N-acyl-alpha amino acids and derivatives,0.9515546560287476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x15355_720_44711_7_431,15355,Glycerophospholipids,C36H66NO11P,[M + H]+,C36H66NO11P,Unknown,0.5026440024375916,Glycerophospholipids,0.8866980671882629,Unknown,0.3132559657096863,Unknown,0.55724334716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x5562_669_43366_3_733,5562,Unknown,C36H56N6O6,[M + H]+,C36H56N6O6,Unknown,0.6908392310142517,Unknown,0.6573150157928467,Unknown,0.2709581255912781,Unknown,0.6151655912399292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x12586_608_42891_6_275,12586,Glycerophospholipids,C31H62NO8P,[M + H]+,C31H62NO8P,Fatty acids,0.9996259212493896,Glycerophospholipids,0.9999812841415404,Glycerophosphoserines,0.9996082186698914,Glycerophosphoserines,0.9651688933372498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphoserines,NA
x30102_562_52168_13_328,30102,Sphingolipids,C36H67NO3,[M + H]+,C36H67NO3,Fatty acids,0.9621967077255248,Sphingolipids,0.977152407169342,Ceramides,0.8590297698974609,Unknown,0.560077428817749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Ceramides,NA
x23533_812_61964_11_446,23533,Glycerophospholipids,C46H86NO8P,[M + H]+,C46H86NO8P,Fatty acids,0.9998052716255188,Glycerophospholipids,0.9996417760849,Glycerophosphocholines,0.9988362193107604,Phosphatidylcholines,0.9919901490211488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Glycerophosphocholines,NA
x25125_894_68021_11_973,25125,Unknown,C50H91N3O10,[M + H]+,C50H91N3O10,Unknown,0.8192899227142334,Unknown,0.5387217998504639,Unknown,0.30447185039520264,Alkyl glycosides,0.8703070878982544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x23230_763_59938_11_181,23230,Unknown,C40H80N6O6,[M + Na]+,C40H80N6O6,Unknown,0.5649596452713013,Unknown,0.7100427746772766,Unknown,0.6383022665977478,Unknown,0.5613368153572083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x33552_774_6636_14_018,33552,Unknown,C48H87NO6,[M + H]+,C48H87NO6,Fatty acids,0.9747774004936218,Unknown,0.42612749338150024,Unknown,0.1267552673816681,Unknown,0.7777946591377258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x24107_908_71704_11_664,24107,Unknown,C51H99NO10,[M + Na]+,C51H99NO10,Fatty acids,0.9813109636306764,Unknown,0.5725415349006653,Unknown,0.4777357578277588,Unknown,0.5684214234352112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x1180_434_28898_1_448,1180,Unknown,C25H39NO5,[M + H]+,C25H39NO5,Unknown,0.651084840297699,Unknown,0.3955017924308777,Unknown,0.13234934210777283,Lipids and lipid-like molecules,0.9611331820487976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x14095_543_38254_6_931,14095,Unknown,C35H52O3,[M + Na]+,C35H52O3,Terpenoids,0.9845582842826844,Unknown,0.7593881487846375,Unknown,0.5287259817123413,Unknown,0.6271625757217407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x20935_621_55852_9_913,20935,Unknown,C38H72N2O4,[M + H]+,C38H72N2O4,Unknown,0.5751509070396423,Unknown,0.23335228860378265,Unknown,0.05347304791212082,Unknown,0.5137110352516174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x39228_1231_01377_15_899,39228,Oligopeptides,C72H133N7O7,[M + Na]+,C72H133N7O7,Amino acids and Peptides,0.904348373413086,Oligopeptides,0.913540542125702,Unknown,0.655744731426239,Alpha amino acids and derivatives,0.8644879460334778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x24215_871_52144_11_676,24215,Oligopeptides,C41H76N4O14,[M + Na]+,C41H76N4O14,Polyketides,0.931122660636902,Oligopeptides,0.9063358902931212,Unknown,0.6494495868682861,Unknown,0.689885139465332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x18514_737_52458_8_726,18514,Unknown,C46H70N2O4,[M + Na]+,C46H70N2O4,Unknown,0.32575637102127075,Unknown,0.20302394032478333,Unknown,0.3764678537845611,Unknown,0.6273483037948608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x16203_584_48837_7_758,16203,Unknown,C34H65NO6,[M + H]+,C34H65NO6,Fatty acids,0.9541944861412048,Unknown,0.5119587779045105,Unknown,0.3580448627471924,Unknown,0.6346591114997864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x13965_526_44742_6_833,13965,Unknown,C31H59NO5,[M + H]+,C31H59NO5,Unknown,0.582165002822876,Unknown,0.10862157493829729,Unknown,0.25985848903656006,N-acyl amines,0.9465609788894652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x38958_1190_98395_15_761,38958,Oligopeptides,C62H123N15O7,[M + H]+,C62H123N15O7,Unknown,0.7722126841545105,Oligopeptides,0.9124419689178468,Unknown,0.5644641518592834,Alpha amino acids and derivatives,0.8868604302406311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x15836_577_40376_7_621,15836,Unknown,C37H48N6,[M + H]+,C37H48N6,Alkaloids,0.9973617196083068,Unknown,0.5893381237983704,Unknown,0.7684190273284912,Unknown,0.6276087164878845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x17341_796_54686_8_264,17341,Glycerophospholipids,C42H80NO9P,[M + Na]+,C42H80NO9P,Fatty acids,0.9999046325683594,Glycerophospholipids,0.999914050102234,Glycerophosphocholines,0.9570490717887878,Phosphatidylcholines,0.988927960395813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
x29315_945_7474_13_085,29315,Unknown,C57H104N2O4S2,[M + H]+,C57H104N2O4S2,Fatty acids,0.9838011860847472,Unknown,0.4618633687496186,Unknown,0.15463043749332428,N-acyl amines,0.9748377203941344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x2821_343_22445_2_693,2821,Steroids,C20H28N3O2,[M + H]+,C20H28N3O2,Terpenoids,0.9494125843048096,Steroids,0.925545871257782,Unknown,0.452792227268219,Unknown,0.5532160997390747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x12939_412_41518_6_438,12939,Sphingolipids,C26H53NO2,[M + H]+,C26H53NO2,Fatty acids,0.9909161925315856,Sphingolipids,0.875542163848877,Unknown,0.41084349155426025,"1,2-aminoalcohols",0.99766206741333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x8162_253_18005_4_558,8162,Unknown,C15H24O3,[M + H]+,C15H24O3,Terpenoids,0.8795210719108582,Unknown,0.6285907030105591,Unknown,0.7933763861656189,Unknown,0.5539796948432922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x1596_386_3269_1_787,1596,Fatty esters,C22H43NO4,[M + H]+,C22H43NO4,Fatty acids,0.9978886246681212,Fatty esters,0.9988378882408142,Fatty acyl carnitines,0.9437085390090942,Unknown,0.6706900596618652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Fatty acyl carnitines,NA
x15347_482_42089_7_492,15347,Unknown,C29H55NO4,[M + H]+,C29H55NO4,Fatty acids,0.9821954369544984,Unknown,0.7032216191291809,Unknown,0.7598465085029602,N-acyl-alpha amino acids,0.967488706111908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x5717_798_55824_3_822,5717,Oligopeptides,C37H71N11O8,[M + H]+,C37H71N11O8,Amino acids and Peptides,0.9619252681732178,Oligopeptides,0.8560895919799805,Unknown,0.2128046154975891,Peptides,0.9560452699661256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x11639_594_45261_5_805,11639,Unknown,C38H59NO4,[M + H]+,C38H59NO4,Fatty acids,0.9541949033737184,Unknown,0.6065336465835571,Unknown,0.5899510383605957,Unknown,0.5069352984428406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x31586_898_73207_13_567,31586,Proline alkaloids,C31H14Cl12N2O4,[M + H]+,C31H14Cl12N2O4,Unknown,0.7735529541969299,Proline alkaloids,0.8966684937477112,Pyrrole alkaloids,0.9722627401351928,Unknown,0.6162036061286926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Pyrrole alkaloids,NA
x7707_859_49729_4_448,7707,Oligopeptides,C36H66N12O12,[M + H]+,C36H66N12O12,Amino acids and Peptides,0.9800875782966614,Oligopeptides,0.9099340438842772,Unknown,0.472815215587616,Unknown,0.5779367685317993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x19141_718_59772_8_97,19141,Fatty esters,C44H79NO6,[M + H]+,C44H79NO6,Fatty acids,0.9995743632316588,Fatty esters,0.9435282945632936,Unknown,0.711376428604126,Unknown,0.7079483866691589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x852_494_3486_1_274,852,Unknown,C28H47NO6,[M + H]+,C28H47NO6,Unknown,0.7533690929412842,Unknown,0.4697076082229614,Unknown,0.2127019613981247,Unknown,0.7260946035385132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x19526_842_59044_9_211,19526,Glycerophospholipids,C46H84NO10P,[M + H]+,C46H84NO10P,Fatty acids,0.9999264478683472,Glycerophospholipids,0.9998824596405028,Oxidized glycerophospholipids,0.8696649670600891,Phosphatidylcholines,0.9901122450828552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Oxidized glycerophospholipids,NA
x6287_438_33553_4_012,6287,Glycerophospholipids,C22H48NO5P,[M + H]+,C22H48NO5P,Fatty acids,0.9999396800994872,Glycerophospholipids,0.971869170665741,Glycerophosphocholines,0.8953762054443359,Phosphocholines,0.9901521801948548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
x19477_708_54161_9_128,19477,Sphingolipids,C41H73NO8,[M + H]+,C41H73NO8,Fatty acids,0.982461392879486,Sphingolipids,0.9268965125083924,Unknown,0.7406426668167114,Unknown,0.5488874912261963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x29782_579_53544_13_216,29782,Glycerolipids,C37H70O4,[M + H]+,C37H70O4,Fatty acids,0.9945322275161744,Glycerolipids,0.9844925403594972,Unknown,0.46223339438438416,Fatty acid esters,0.9991735816001892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x21286_591_47604_10_075,21286,Unknown,C38H64O3,[M + Na]+,C38H64O3,Terpenoids,0.9910247325897216,Unknown,0.7370854020118713,Unknown,0.6059192419052124,Unknown,0.5961066484451294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x5664_538_44792_3_798,5664,Unknown,C32H59NO5,[M + H]+,C32H59NO5,Fatty acids,0.8945234417915344,Unknown,0.17672108113765717,Unknown,0.5347932577133179,Unknown,0.6346863508224487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x10313_1066_79035_5_387,10313,Oligopeptides,C50H99N17O8,[M + H]+,C50H99N17O8,Amino acids and Peptides,0.9912548065185548,Oligopeptides,0.9099393486976624,Unknown,0.4568147361278534,Unknown,0.723281979560852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x10021_407_2943_5_266,10021,Unknown,C28H38O2,[M + H]+,C28H38O2,Terpenoids,0.9014122486114502,Unknown,0.28681766986846924,Unknown,0.08198073506355286,Unknown,0.5391669273376465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x17407_682_56252_8_297,17407,Unknown,C40H75NO7,[M + H]+,C40H75NO7,Fatty acids,0.9924909472465516,Unknown,0.1307302564382553,Unknown,0.1922221332788467,Unknown,0.8363615274429321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x19746_720_54171_9_272,19746,Sphingolipids,C40H75NO8,[M + Na]+,C40H75NO8,Fatty acids,0.9885426759719848,Sphingolipids,0.9782546758651732,Unknown,0.8487682342529297,Unknown,0.6757804155349731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x39991_718_64956_16_222,39991,Unknown,C49H83NO2,[M + H]+,C49H83NO2,Fatty acids,0.8790375590324402,Unknown,0.5147165656089783,Unknown,0.5983828902244568,Unknown,0.6970465779304504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x11750_649_44484_5_892,11750,Glycerolipids,C39H62O6,[M + Na]+,C39H62O6,Unknown,0.6055905222892761,Glycerolipids,0.8934261798858643,Unknown,0.79838627576828,Unknown,0.5368028879165649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x20756_846_4816_9_842,20756,Unknown,C43H68N5O10P,[M + H]+,C43H68N5O10P,Unknown,0.33295756578445435,Unknown,0.2884383201599121,Unknown,0.37519168853759766,Unknown,0.6801841259002686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x20071_728_52231_9_465,20071,Glycerophospholipids,C40H74NO8P,[M + H]+,C40H74NO8P,Fatty acids,0.999362289905548,Glycerophospholipids,0.9999432563781738,Glycerophosphoethanolamines,0.9888859987258912,Phosphatidylethanolamines,0.9758756160736084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphoethanolamines,NA
x12459_848_51833_6_225,12459,Glycerophospholipids,C48H76NO8P,[M + Na]+,C48H76NO8P,Fatty acids,0.9998953342437744,Glycerophospholipids,0.999270498752594,Unknown,0.6460239887237549,Unknown,0.5509764552116394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x9803_614_50065_5_178,9803,Fatty esters,C35H67NO7,[M + H]+,C35H67NO7,Fatty acids,0.994125485420227,Fatty esters,0.9492143988609314,Unknown,0.7416285276412964,Fatty acid esters,0.9076918959617616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x245_915_48593_0_947,245,Unknown,C50H62N10O7,[M + H]+,C50H62N10O7,Unknown,0.47168588638305664,Unknown,0.5151667594909668,Unknown,0.3025052547454834,Unknown,0.587790310382843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x34881_988_85454_14_377,34881,Unknown,C61H113NO8,[M + H]+,C61H113NO8,Fatty acids,0.9063391089439392,Unknown,0.7021893262863159,Unknown,0.42529523372650146,Unknown,0.8258728981018066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x29836_964_76362_13_176,29836,Unknown,C30H18I4N4,[M + Na]+,C30H18I4N4,Unknown,0.8369723558425903,Unknown,0.34733128547668457,Unknown,0.2238758355379105,Unknown,0.5221177935600281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x10243_592_43617_5_363,10243,Glycerophospholipids,C31H62NO7P,[M + H]+,C31H62NO7P,Fatty acids,0.9968189001083374,Glycerophospholipids,0.999612271785736,Glycerophosphocholines,0.998664379119873,Unknown,0.7970522046089172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
x2382_343_26277_2_407,2382,Unknown,C23H34O2,[M + H]+,C23H34O2,Fatty acids,0.9999349117279052,Unknown,0.7687456607818604,Unsaturated fatty acids,0.9920346140861512,Unknown,0.8384976387023926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unsaturated fatty acids,NA
x33242_924_76954_13_95,33242,Unknown,C48H97N11O6,[M + H]+,C48H97N11O6,Unknown,0.6152994632720947,Unknown,0.5955603718757629,Unknown,0.5978574156761169,Unknown,0.6248894929885864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x25765_954_57823_12_112,25765,Oligopeptides,C46H79N7O14,[M + H]+,C46H79N7O14,Amino acids and Peptides,0.984495997428894,Oligopeptides,0.943899631500244,Unknown,0.5004528164863586,Unknown,0.7301594614982605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x7180_1269_48003_4_314,7180,Unknown,C88H66N2O6,[M + Na]+,C88H66N2O6,Unknown,0.37330180406570435,Unknown,0.41742658615112305,Unknown,0.26612794399261475,Unknown,0.8039047122001648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x22478_562_48478_10_724,22478,Unknown,C35H63NO4,[M + H]+,C35H63NO4,Unknown,0.6806758642196655,Unknown,0.629438042640686,Unknown,0.3080277442932129,N-acyl amines,0.8794693350791931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x6530_640_28352_4_104,6530,Unknown,C32H39N7O6,[M + Na]+,C32H39N7O6,Amino acids and Peptides,0.9722005128860474,Unknown,0.6710742712020874,Unknown,0.7345531582832336,Unknown,0.7551084756851196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x6859_502_38974_4_201,6859,Unknown,C31H51NO4,[M + H]+,C31H51NO4,Terpenoids,0.932400405406952,Unknown,0.29444852471351624,Unknown,0.5443772077560425,Unknown,0.6660767197608948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x28456_577_49886_12_885,28456,Unknown,C40H64O2,[M + H]+,C40H64O2,Terpenoids,0.8975691795349121,Unknown,0.17661471664905548,Unknown,0.4267101287841797,Unknown,0.8377145528793335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x19972_552_50017_9_372,19972,Unknown,C34H65NO4,[M + H]+,C34H65NO4,Terpenoids,0.9579801559448242,Unknown,0.7062060832977295,Unknown,0.4756984412670135,Unknown,0.5092119574546814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x6030_984_58905_3_945,6030,Unknown,C51H85NO17,[M + H]+,C51H85NO17,Fatty acids,0.9914107322692872,Unknown,0.7835897207260132,Unknown,0.27645066380500793,Glycosyl-N-acylsphingosines,0.987016499042511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x24979_803_56295_11_864,24979,Oligopeptides,C43H74N6O8,[M + H]+,C43H74N6O8,Amino acids and Peptides,0.9411025643348694,Oligopeptides,0.8761136531829834,Unknown,0.7966585159301758,Unknown,0.5126073956489563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x9742_678_50925_5_16,9742,Glycerophospholipids,C36H72NO8P,[M + H]+,C36H72NO8P,Fatty acids,0.9998290538787842,Glycerophospholipids,0.999936580657959,Glycerophosphocholines,0.9039244651794434,Phosphatidylcholines,0.8626425862312317,0.890873,3.32834,"Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14",N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
x33263_1033_81042_13_991,33263,Unknown,C56H100N14O4,[M + H]+,C56H100N14O4,Unknown,0.5843175649642944,Unknown,0.7686622738838196,Unknown,0.065967656672000885,Unknown,0.6919642090797424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x17588_737_53345_8_377,17588,Glycerolipids,C46H72O7,[M + H]+,C46H72O7,Fatty acids,0.9607757329940796,Glycerolipids,0.9574525952339172,Unknown,0.5627649426460266,Triacylglycerols,0.9607629776000975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x29849_815_67819_13_192,29849,Glycerolipids,C51H90O7,[M + H]+,C51H90O7,Fatty acids,0.9301945567131042,Glycerolipids,0.9876060485839844,Triacylglycerols,0.975557267665863,Triacylglycerols,0.9995918869972228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Triacylglycerols,NA
x9793_626_47902_5_204,9793,Triterpenoids,C39H63NO5,[M + H]+,C39H63NO5,Terpenoids,0.9925948977470398,Triterpenoids,0.9994852542877196,Oleanane triterpenoids,0.9482244849205016,Triterpenoids,0.9962060451507568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Oleanane triterpenoids,NA
x1196_450_32235_1_47,1196,Unknown,C27H39N5O,[M + H]+,C27H39N5O,Unknown,0.8293560743331909,Unknown,0.46975138783454895,Colensane and Clerodane diterpenoids,0.8678238987922668,Unknown,0.7615855932235718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Colensane and Clerodane diterpenoids,NA
x35631_936_73846_14_517,35631,Glycerophospholipids,C55H102NO8P,[M + H]+,C55H102NO8P,Fatty acids,0.999913215637207,Glycerophospholipids,0.9997910857200624,Glycerophosphoethanolamines,0.98895663022995,Monomethylphosphatidylethanolamines,0.8964263200759888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Glycerophosphoethanolamines,NA
x25900_551_41104_12_206,25900,Unknown,C36H54O4,[M + H]+,C36H54O4,Terpenoids,0.9751455783843994,Unknown,0.4552107751369476,Unknown,0.2758600115776062,Unknown,0.8475779891014099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x19833_552_43964_9_331,19833,Unknown,C34H59NO3,[M + Na]+,C34H59NO3,Terpenoids,0.9227461814880372,Unknown,0.511277437210083,Unknown,0.4805945158004761,Unknown,0.7679693102836609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
