Feature,XGBoost_Importance,RandomForest_Importance
x35371_1129_31786_14_482,0.0,0.0035376619477312716
x27832_618_58246_12_68,0.0,0.003536810105460089
x41194_904_83387_16_917,0.0,0.0034924897598883945
x40912_928_83443_16_707,0.0,0.003483150474901256
x39847_822_75508_16_151,0.0,0.003464244958705157
x40695_824_77092_16_584,0.0,0.003458745187469895
x36108_538_59233_14_715,0.0,0.003442760067725779
x39299_851_70921_15_916,0.0,0.0034335141837971202
x32212_861_67756_13_718,0.0,0.0034290423558802153
x40767_907_77186_16_631,0.0,0.003393021746807184
x40810_980_86364_16_643,0.0,0.00335054297640891
x39906_853_72485_16_178,0.0,0.003343533127439347
x38076_524_57675_15_407,0.0,0.0033226744722800188
x38350_870_75456_15_522,0.0,0.0033207737397964805
x39999_879_74006_16_231,0.0,0.003320357503692873
x31054_642_57998_13_463,0.0,0.003306867979421331
x35754_595_64942_14_648,0.0,0.0032897071180206347
x36009_468_51401_14_687,0.0,0.0032670836832775748
x38127_948_79794_15_431,0.0,0.0032530637600590804
x39840_827_70944_16_149,0.0,0.0032500063230593416
x18227_406_79362_8_552,0.0,0.003117412295461657
x34521_564_60859_14_314,0.0,0.0030116353694433218
x11042_812_50466_5_639,0.0,0.002951212692211225
x31104_1022_84167_13_474,0.0,0.002844504176430738
x31021_747_73443_13_462,0.0,0.0027600443531553406
x7369_678_47075_4_388,0.0,0.0027022321280250933
x8827_860_52837_4_821,0.0,0.002687901487748969
x28059_1022_74714_12_747,0.0,0.0026866743121559864
x10767_692_42683_5_536,0.0,0.0026540287342172765
x30315_946_72607_13_318,0.0,0.0026505060318575352
x31765_656_59464_13_624,0.0,0.0026458230945168052
x27818_896_63137_12_693,0.0,0.0026396171012207452
x20737_758_63052_9_837,0.0,0.002635919077766326
x27853_600_57246_12_686,0.0,0.0026343242980212418
x25797_842_58705_12_114,0.0,0.002618022210204273
x39021_901_80305_15_844,0.0,0.0025526612500860898
x41255_881_83319_16_958,0.0,0.0025282172079304868
x26454_754_57457_12_344,0.0,0.0024898622041927467
x9141_732_51996_4_923,0.0,0.0024609989441214137
x8842_776_50726_4_827,0.0,0.002450189351203963
x2121_302_23297_2_136,0.0023576946,7.275607411130324e-05
x15236_823_58017_7_386,0.0,0.00239535806722448
x10687_648_46075_5_501,0.0,0.002376260837623082
x39456_978_84499_16_003,0.0,0.002372302061320556
x2391_494_2889_2_39,0.0,0.002358278533776346
x25870_590_55112_12_167,0.0,0.002338043513612906
x1155_528_27241_1_466,0.0,0.0023146406483592393
x38989_1000_82878_15_768,0.0,0.0023140749336931997
x7761_692_4865_4_518,0.0,0.0022900720499357953
x8560_750_53027_4_753,0.0,0.0022870693702559093
x32833_1050_87408_13_862,0.0,0.002271986143610265
x22327_686_51155_10_639,0.0,0.002250809116604633
x29264_600_57265_13_034,0.0,0.0022074024647605046
x34473_586_59024_14_249,0.0,0.0021956851835147942
x30981_908_75294_13_448,0.0,0.0021772089158303165
x37042_1199_29081_15_046,0.0,0.0021651110769393333
x21400_902_65352_10_147,0.0,0.0021620002658560267
x19881_870_59911_9_327,0.0,0.0021618929157414734
x27300_766_57563_12_54,0.0,0.002131128398834524
x38004_1254_34891_15_383,0.0,0.002128948145679776
x21151_758_63054_10_03,0.0,0.0020786174811886393
x26940_866_66112_12_442,0.0,0.0020758631124921084
x38140_910_78372_15_428,0.0,0.00206728355734783
x38018_1255_35198_15_384,0.0,0.0020585995299912093
x30313_614_58869_13_294,0.0,0.0020336316878744754
x37540_894_75402_15_211,0.0,0.0020195190385033776
x38894_846_75465_15_748,0.0,0.0020137408170423257
x39508_898_78752_16_02,0.0,0.002002482000734528
x40361_882_7932_16_392,0.0,0.0020000704258993115
x41213_878_8186_16_932,0.0,0.001995905012743891
x31565_840_69303_13_589,0.0,0.001977796642183314
x34772_648_7388_14_298,0.0,0.001967229131298743
x33252_1024_85459_13_971,0.0,0.0019480840957742961
x35188_917_73124_14_421,0.0,0.0019409466332730209
x38831_822_75222_15_705,0.0,0.00194066146651198
x34865_938_77969_14_349,0.0,0.0019387614691879856
x36171_1204_33599_14_735,0.0,0.0019353632043780096
x23841_932_62245_11_539,0.0,0.0019332242530891509
x20882_900_64701_9_906,0.0,0.001928933383739465
x41557_906_85001_17_283,0.0,0.0019197001273168089
x16255_896_61839_7_768,0.0,0.0019063836026607277
x37989_648_70289_15_402,0.0,0.0018997089205041446
x37928_510_56136_15_352,0.0,0.0018913416870034766
x35339_648_73919_14_467,0.0,0.0018906765886941338
x40143_926_81384_16_293,0.0,0.0018849819226367875
x37979_1428_39093_15_377,0.0,0.0018764377948720461
x17921_884_61191_8_465,0.0,0.0018739176671930145
x34236_914_72143_14_183,0.0,0.001869562461659101
x38192_818_72388_15_459,0.0,0.001867568360362384
x34662_838_69195_14_288,0.0,0.0018570869244373892
x23446_710_62854_11_336,0.0,0.0018549436156666797
x36528_971_78626_14_869,0.0,0.001854784766529605
x41205_906_84716_16_929,0.0,0.0018413326892534017
x32066_553_49879_13_693,0.0,0.001833391578393096
x34095_921_31353_14_157,0.0,0.001831761647457105
x40741_1004_86413_16_604,0.0,0.001831046704309832
x39160_951_81841_15_822,0.0,0.0018142894965599832
x33912_426_46694_14_117,0.0,0.0018141103899506198
x34224_440_48293_14_308,0.0,0.0018080089192283025
x37726_792_70779_15_276,0.0,0.0018074475772842835
x32461_604_60363_13_783,0.0,0.0018066229644426587
x15214_800_50547_7_387,0.0,0.0018058165374323454
x37194_604_63974_15_115,0.0,0.0018013152992326807
x37442_482_53003_15_236,0.0,0.0017965640083155863
x38904_841_66794_15_748,0.0,0.0017871776563893813
x36583_700_62704_14_872,0.0,0.001784891728475496
x20670_627_53498_9_778,0.0,0.0017831725059918543
x39445_950_81651_15_998,0.0,0.0017821394265703483
x38252_810_75471_15_538,0.0,0.0017758486562661963
x38633_949_80211_15_641,0.0,0.0017752907414994976
x39218_551_5036_15_888,0.0,0.001773057291230313
x33067_914_4399_13_899,0.0,0.0017623478389557608
x38359_662_71853_15_518,0.0,0.0017568699476099576
x40764_1006_87778_16_622,0.0,0.0017470138108725563
x7228_708_44485_4_33,0.0,0.001745034844310319
x39151_896_77192_15_839,0.0,0.001744975990855433
x39030_976_8302_15_797,0.0,0.0017432812400151227
x239_264_19531_0_882,0.0,0.0017378867336815857
x40911_957_86734_16_719,0.0,0.0017331137483960143
