"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
81.038374717833,"x40597_928_83123_16_485",60.1340033500838,492140.958479901,359,443
81.038374717833,"x40908_956_86271_16_719",60.1340033500838,426243.497097153,359,443
81.038374717833,"x40717_886_81987_16_596",60.1340033500838,350696.229778894,359,443
81.038374717833,"x41188_932_86258_16_913",60.1340033500838,346989.007188777,359,443
81.038374717833,"x40657_855_74096_16_558",60.1340033500838,326127.100563652,359,443
81.038374717833,"x41165_907_85092_16_929",60.1340033500838,323888.198171189,359,443
81.038374717833,"x40753_978_84892_16_622",60.1340033500838,274513.445391458,359,443
81.038374717833,"x40613_881_75541_16_535",60.1340033500838,207660.168990787,359,443
81.038374717833,"x41209_883_77291_16_932",60.1340033500838,179220.830477722,359,443
81.038374717833,"x41557_906_85001_17_283",60.1340033500838,164284.541147404,359,443
81.038374717833,"x40764_1006_87778_16_622",60.1340033500838,132358.653428643,359,443
81.038374717833,"x41261_857_75758_16_972",60.1340033500838,23828.4954472362,359,443
80.8126410835214,"x39888_848_77057_16_173",59.9664991624791,3251624.34667169,358,443
80.8126410835214,"x39160_951_81841_15_822",59.9664991624791,512838.400713064,358,443
80.8126410835214,"x41273_886_82369_16_981",59.9664991624791,447673.114494641,358,443
80.8126410835214,"x39700_903_81851_16_155",59.9664991624791,227815.064183752,358,443
80.8126410835214,"x40689_853_80106_16_577",59.9664991624791,185814.201701843,358,443
80.8126410835214,"x40042_878_80706_16_18",59.9664991624791,166142.242274707,358,443
80.8126410835214,"x39485_1028_86118_16_01",59.9664991624791,92877.6153869348,358,443
80.5869074492099,"x39288_846_75538_15_912",59.7989949748744,6700292.26106869,357,443
80.5869074492099,"x39976_874_78599_16_215",59.7989949748744,3093530.99691289,357,443
80.5869074492099,"x39152_924_79895_15_844",59.7989949748744,2882501.48969682,357,443
80.5869074492099,"x38192_818_72388_15_459",59.7989949748744,2699730.46210938,357,443
80.5869074492099,"x39291_874_78344_15_911",59.7989949748744,2451157.97832999,357,443
80.5869074492099,"x38158_844_73924_15_454",59.7989949748744,2342138.27451256,357,443
80.5869074492099,"x38830_794_72361_15_716",59.7989949748744,1848061.42728141,357,443
80.5869074492099,"x39186_898_78095_15_858",59.7989949748744,1753984.08647906,357,443
80.5869074492099,"x38894_846_75465_15_748",59.7989949748744,1393016.13271022,357,443
80.5869074492099,"x40025_902_81509_16_262",59.7989949748744,1089716.11468509,357,443
80.5869074492099,"x39491_926_81454_15_997",59.7989949748744,920635.13742211,357,443
80.5869074492099,"x39194_899_78625_15_877",59.7989949748744,886979.429917922,357,443
80.5869074492099,"x40109_953_8346_16_277",59.7989949748744,728467.112564488,357,443
80.5869074492099,"x40713_858_79187_16_592",59.7989949748744,700846.455904523,357,443
80.5869074492099,"x39698_901_80339_16_064",59.7989949748744,642814.394120603,357,443
80.5869074492099,"x40166_928_8303_16_306",59.7989949748744,564213.893592964,357,443
80.5869074492099,"x39156_901_724_15_843",59.7989949748744,561830.221906197,357,443
80.5869074492099,"x40362_903_81922_16_367",59.7989949748744,539265.125469011,357,443
80.5869074492099,"x39299_851_70921_15_916",59.7989949748744,491204.60180402,357,443
80.5869074492099,"x40824_930_84582_16_667",59.7989949748744,441880.878144053,357,443
80.5869074492099,"x38867_768_70791_15_73",59.7989949748744,415883.975800671,357,443
