Feature,XGBoost_Importance,RandomForest_Importance
x23036_710_63001_11_089,0.0,0.0017318233669568423
x23174_724_5283_11_167,0.0,0.001726830708080195
x38249_884_80447_15_483,0.0,0.0017071896358737053
x29055_606_58214_13_01,0.0,0.0016999111199212794
x26373_586_55678_12_324,0.0,0.0016410062182690601
x30258_690_60437_13_288,0.0,0.001632800717912901
x16758_654_56689_8_032,0.0,0.00162397943858541
x29533_628_56392_13_094,0.0,0.0016220970397154769
x26461_613_55555_12_337,0.0,0.001617343224226552
x8394_848_52703_4_704,0.0,0.0015925792378649925
x23695_585_52442_11_475,0.0,0.0015759686737839135
x4573_530_35871_3_51,0.0,0.0015475541691603871
x38454_878_76101_15_567,0.0,0.0015452770445272567
x502_423_35719_1_08,0.0,0.0015394729295812367
x27800_636_59332_12_675,0.0,0.0015259009827015692
x10830_774_52456_5_571,0.0,0.0015216282388002705
x20160_682_59838_9_511,0.0,0.0015156653516435676
x23621_752_56134_11_435,0.0,0.0015119511338555845
x39141_930_78887_15_835,0.0,0.0015100196511408212
x8754_878_47673_4_806,0.0,0.0015019625406807804
x23373_613_55607_11_279,0.0,0.0014917898446356814
x10653_816_57674_5_479,0.0,0.0014885129003333888
x21498_682_59842_10_259,0.0,0.0014857707791502658
x25965_778_57268_12_201,0.0,0.001466647910390829
x17865_704_5825_8_448,0.0,0.0014603212806574477
x6195_431_35265_3_986,0.0,0.0014480426160062843
x31539_885_75125_13_586,0.0,0.001445475970086368
x21927_530_49385_10_401,0.0,0.0014446334211267915
x26004_775_54372_12_229,0.0,0.0014416544408936637
x27982_604_56684_12_699,0.0,0.0014013335261648897
x25192_792_59597_11_995,0.0,0.0013403282891415718
x33207_642_61933_13_944,0.0,0.0013331729113269454
x26102_790_51242_12_236,0.0,0.0013319853414454114
x9856_804_47819_5_2,0.0,0.0012758719787153623
x15168_822_48698_7_378,0.0,0.0012741693485977836
x3257_526_31397_3,0.0,0.001262265195650597
x4345_505_39969_3_431,0.0,0.0012621836135134862
x4509_508_3759_3_504,0.0,0.0012612298795859668
x5239_544_37607_3_691,0.0,0.001256638625129624
x31909_686_60713_13_661,0.0,0.0012365597119063055
x35020_531_5141_14_392,0.0,0.0012343045056211835
x2710_510_35483_2_631,0.0,0.001232574388845462
x20278_792_58964_9_565,0.0,0.0012227561650945775
x27471_612_57288_12_601,0.0,0.0012179326875890318
x3115_522_35597_2_868,0.0,0.0011950679428531963
x22829_810_60266_10_934,0.0,0.001191005300045317
x24593_850_51477_11_793,0.0,0.0011886557731581265
x5760_576_40435_3_824,0.0,0.0011813985985091285
x23665_674_51286_11_442,0.0,0.0011800930305901566
x22869_771_59779_10_97,0.0,0.0011797293261331912
x26454_754_57457_12_344,0.0,0.0011720493257957184
x26463_780_58717_12_378,0.0,0.0011719762047493155
x2954_468_34807_2_833,0.0,0.0011696703983928732
x19970_750_54977_9_407,0.0,0.001168262615186071
x30285_711_53261_13_292,0.0,0.0011504558206811063
x11201_650_47606_5_693,0.0,0.0011447448454140507
x8392_819_55795_4_684,0.0,0.0011349758756977713
x30284_654_58055_13_292,0.0,0.0011314192326349597
x25232_740_55933_11_975,0.0,0.0011255816745973242
x23903_639_64054_11_565,0.0,0.0011167852461695686
x23628_760_64581_11_397,0.0,0.0011160769945212676
x3480_526_38736_3_086,0.0,0.0011087614719382446
x18856_534_48846_8_849,0.0,0.0011044087590202014
x3245_548_36397_3_012,0.0,0.0011019004481908493
x22208_740_56193_10_576,0.0,0.0010967904958862232
x1813_498_35538_1_899,0.0,0.0010748355252199106
x8325_732_4819_4_655,0.0,0.0010689890534448195
x21073_520_50874_9_977,0.0,0.0010511089477900073
x11059_744_51645_5_626,0.0,0.0010501831441702863
x8757_856_49525_4_804,0.0,0.0010456966713102023
x20695_534_48856_9_8,0.0,0.0010454115319795346
x22074_758_51052_10_493,0.0,0.0010332699872304496
x22664_595_50795_10_839,0.0,0.001032411394164932
x7229_730_4267_4_331,0.0,0.0010229314588807005
x30257_695_55899_13_286,0.0,0.0010167572155753248
x29153_834_64268_13_004,0.0,0.0010144113323709565
x26230_740_56081_12_25,0.0,0.001008166393506141
x28727_950_53237_12_919,0.0,0.0010056324837677845
x10731_670_44129_5_531,0.0,0.001002164264520245
x21237_802_56955_10_075,0.0,0.0009999703096050323
x1747_553_2779_1_831,0.0,0.0009944172888466812
x31602_822_68155_13_595,0.0,0.000988198368187467
x17910_516_47829_8_47,0.0,0.0009817066560533216
x24018_710_62926_11_604,0.0,0.0009646979895138336
x19944_722_51243_9_349,0.0,0.0009467703930914026
x3905_518_35796_3_323,0.0,0.0009424945304926187
