metabolite,ubiquity_percent,n_samples_present,total_samples,avg_intensity_overall,max_intensity
x6084_532_3736_3_947,95.77464788732394,544,568,1318955.63168081,5014155
x1649_544_34026_1_739,95.59859154929578,543,568,648213.8773375,9492516
x19279_643_51751_9_054,95.59859154929578,543,568,30358665.629095767,118343310
x23464_744_59099_11_345,95.59859154929578,543,568,8148545.884339256,68216970
x24123_810_60076_11_642,95.59859154929578,543,568,4712392.845594005,44788972
x25082_782_61441_11_938,95.59859154929578,543,568,961168.7247399644,8836861
x25776_818_60241_12_14,95.59859154929578,543,568,787866.5570410213,2473470
x27743_798_64507_12_659,95.59859154929578,543,568,2386999.4060897892,19507408
x27847_799_64828_12_675,95.59859154929578,543,568,1138402.2813808098,7526117
x28832_800_65337_12_882,95.59859154929578,543,568,907705.6137857395,9428119
x29160_618_58231_13_036,95.59859154929578,543,568,1123385.0184154927,62898660
x36121_842_72119_14_713,95.59859154929578,543,568,509168.22604753537,5375428.5
x7773_524_40783_4_468,95.59859154929578,543,568,792139.6881297537,11556636
x19772_429_37267_9_293,95.4225352112676,542,568,198015.51464014084,1880157.8
x22257_558_48585_10_595,95.4225352112676,542,568,2029357.4913989443,8460100
x22799_790_57142_10_937,95.4225352112676,542,568,1277711.501341549,3992326.5
x26267_808_6195_12_306,95.4225352112676,542,568,810532.6911427815,23142882
x36696_868_73683_14_878,95.4225352112676,542,568,691311.486174824,9216251
x39167_884_77202_15_881,95.4225352112676,542,568,94595.9618600352,1141329.8
x6491_468_34541_4_083,95.4225352112676,542,568,587414.0259797535,11235222
x6689_344_35256_4_145,95.4225352112676,542,568,2572425.6697573937,27610794
x8001_552_40312_4_541,95.4225352112676,542,568,1632533.5594348588,28051330
x1232_251_16426_1_486,95.24647887323944,541,568,81555.66866760561,3770647.5
x23381_768_59089_11_225,95.24647887323944,541,568,886270.5487635563,10062268
x24838_770_60774_11_835,95.24647887323944,541,568,6923511.120708983,169986180
x27019_814_63333_12_479,95.24647887323944,541,568,1405704.6243408443,10723836
x2954_468_34807_2_833,95.24647887323944,541,568,62383.343364260545,1824098.5
x29662_871_57509_13_138,95.24647887323944,541,568,7169244.664969188,50594570
x36292_792_70748_14_778,95.24647887323944,541,568,356011.78289577464,4203983
x38363_924_80033_15_529,95.24647887323944,541,568,930136.5250103873,14665354
x4860_546_35343_3_581,95.24647887323944,541,568,974161.786830282,6688894.5
x6230_466_32962_3_999,95.24647887323944,541,568,6554388.374868308,77933660
x6245_284_2947_4_005,95.24647887323944,541,568,904618.1414633802,8430916
x15578_381_35127_7_509,95.07042253521126,540,568,389731.9475484154,4849089
x22281_518_49367_10_602,95.07042253521126,540,568,8947976.08126075,169229280
x28210_592_56636_12_785,95.07042253521126,540,568,765437.2067450704,6263197
