"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
81.0747663551402,"x39152_924_79895_15_844",61.0915492957746,3006724.14737676,347,428
81.0747663551402,"x38192_818_72388_15_459",61.0915492957746,2832283.45784331,347,428
81.0747663551402,"x39291_874_78344_15_911",61.0915492957746,2569029.40010563,347,428
81.0747663551402,"x38158_844_73924_15_454",61.0915492957746,2456129.11720774,347,428
81.0747663551402,"x38830_794_72361_15_716",61.0915492957746,1937257.3297007,347,428
81.0747663551402,"x39186_898_78095_15_858",61.0915492957746,1840991.15653169,347,428
81.0747663551402,"x38894_846_75465_15_748",61.0915492957746,1461486.03116373,347,428
81.0747663551402,"x40025_902_81509_16_262",61.0915492957746,1142009.67773064,347,428
81.0747663551402,"x37286_944_7687_15_115",61.0915492957746,983131.737834505,347,428
81.0747663551402,"x39491_926_81454_15_997",61.0915492957746,963916.481605636,347,428
81.0747663551402,"x39194_899_78625_15_877",61.0915492957746,929604.61778521,347,428
81.0747663551402,"x37644_766_69228_15_242",61.0915492957746,837545.235943661,347,428
81.0747663551402,"x40109_953_8346_16_277",61.0915492957746,759862.485308098,347,428
81.0747663551402,"x37248_816_70805_15_098",61.0915492957746,681341.762113381,347,428
81.0747663551402,"x39698_901_80339_16_064",61.0915492957746,671811.398947184,347,428
81.0747663551402,"x40166_928_8303_16_306",61.0915492957746,590486.955802818,347,428
81.0747663551402,"x39156_901_724_15_843",61.0915492957746,582662.056271128,347,428
81.0747663551402,"x40362_903_81922_16_367",61.0915492957746,565556.845572182,347,428
81.0747663551402,"x37005_945_77047_15_094",61.0915492957746,519968.695248238,347,428
81.0747663551402,"x39299_851_70921_15_916",61.0915492957746,513536.323822183,347,428
81.0747663551402,"x39852_899_78891_16_097",61.0915492957746,503555.699231691,347,428
81.0747663551402,"x37742_818_72331_15_285",61.0915492957746,482067.865573063,347,428
81.0747663551402,"x40824_930_84582_16_667",61.0915492957746,462862.38537324,347,428
81.0747663551402,"x38867_768_70791_15_73",61.0915492957746,434469.480295774,347,428
81.0747663551402,"x40129_954_84247_16_305",61.0915492957746,422879.802369718,347,428
81.0747663551402,"x39895_796_73948_16_172",61.0915492957746,370518.588528169,347,428
81.0747663551402,"x37962_899_70838_15_367",61.0915492957746,332577.324984155,347,428
81.0747663551402,"x39827_927_8176_16_13",61.0915492957746,325301.98471831,347,428
81.0747663551402,"x37337_923_70826_15_13",61.0915492957746,313057.847224296,347,428
81.0747663551402,"x39606_877_72541_16_041",61.0915492957746,305725.010649647,347,428
81.0747663551402,"x39840_827_70944_16_149",61.0915492957746,297511.808044014,347,428
81.0747663551402,"x39999_879_74006_16_231",61.0915492957746,294571.944598591,347,428
81.0747663551402,"x39906_853_72485_16_178",61.0915492957746,291061.658260564,347,428
81.0747663551402,"x40029_929_83521_16_292",61.0915492957746,277912.825558099,347,428
81.0747663551402,"x38485_849_69425_15_577",61.0915492957746,273592.667661972,347,428
81.0747663551402,"x40083_929_75506_16_269",61.0915492957746,270624.040582747,347,428
81.0747663551402,"x38808_875_70915_15_708",61.0915492957746,266322.273022887,347,428
81.0747663551402,"x38327_875_70831_15_513",61.0915492957746,259940.8896875,347,428
81.0747663551402,"x38188_823_67848_15_455",61.0915492957746,251442.771235036,347,428
81.0747663551402,"x38029_873_69396_15_39",61.0915492957746,246587.793524648,347,428
81.0747663551402,"x39513_903_73957_16_006",61.0915492957746,236630.634899648,347,428
81.0747663551402,"x40546_930_84449_16_516",61.0915492957746,236355.984168134,347,428
81.0747663551402,"x40911_957_86734_16_719",61.0915492957746,235932.068261443,347,428
81.0747663551402,"x37689_973_80167_15_242",61.0915492957746,232503.82065176,347,428
81.0747663551402,"x37116_973_72312_15_054",61.0915492957746,231142.48052905,347,428
81.0747663551402,"x39063_927_73821_15_809",61.0915492957746,209990.325302817,347,428
81.0747663551402,"x39883_857_77793_16_257",61.0915492957746,190712.565130282,347,428
81.0747663551402,"x39866_904_82358_16_217",61.2676056338028,186326.057391725,347,428
81.0747663551402,"x38118_925_72357_15_428",61.0915492957746,185752.368200704,347,428
81.0747663551402,"x40104_930_75845_16_267",61.0915492957746,183906.306714789,347,428
81.0747663551402,"x40138_955_8491_16_323",61.0915492957746,180395.003690141,347,428
81.0747663551402,"x40851_982_87568_16_684",61.0915492957746,179728.104680634,347,428
81.0747663551402,"x39249_877_72391_15_887",61.0915492957746,176764.242799296,347,428
81.0747663551402,"x40673_887_82418_16_592",61.0915492957746,165668.686726056,347,428
81.0747663551402,"x38828_799_67879_15_716",61.0915492957746,164581.041058099,347,428
81.0747663551402,"x39316_867_68387_15_92",61.0915492957746,157346.049738556,347,428
81.0747663551402,"x38415_901_72365_15_557",61.0915492957746,155983.779419014,347,428
81.0747663551402,"x40176_905_75522_16_31",61.0915492957746,152417.820297535,347,428
81.0747663551402,"x40913_933_78737_16_722",61.0915492957746,150190.486742958,347,428
81.0747663551402,"x39039_903_73381_15_84",61.0915492957746,146399.505477113,347,428
81.0747663551402,"x40767_907_77186_16_631",61.0915492957746,132009.471181338,347,428
81.0747663551402,"x38910_851_70942_15_754",61.0915492957746,128227.381452465,347,428
81.0747663551402,"x39953_1004_86083_16_213",61.0915492957746,121244.904797007,347,428
81.0747663551402,"x40656_871_71516_16_557",61.0915492957746,118733.114033451,347,428
81.0747663551402,"x37954_915_68376_15_362",61.0915492957746,113753.278419014,347,428
81.0747663551402,"x40352_836_77129_16_392",61.0915492957746,109361.307964789,347,428
81.0747663551402,"x39613_893_69949_16_045",61.0915492957746,106490.922107394,347,428
81.0747663551402,"x40144_931_76753_16_322",61.0915492957746,102400.199714789,347,428
81.0747663551402,"x40093_945_73033_16_271",61.0915492957746,97784.0475651408,347,428
81.0747663551402,"x39837_843_68448_16_149",61.0915492957746,97643.9503362677,347,428
81.0747663551402,"x40196_906_75931_16_348",61.0915492957746,94738.5931390844,347,428
81.0747663551402,"x39913_869_69937_16_182",61.0915492957746,93533.2427376758,347,428
81.0747663551402,"x38487_865_66828_15_577",61.0915492957746,90885.4357869717,347,428
81.0747663551402,"x37855_849_69319_15_377",61.0915492957746,88159.2458482394,347,428
81.0747663551402,"x38804_891_68372_15_708",61.0915492957746,87180.5743538732,347,428
81.0747663551402,"x41067_934_79137_16_73",61.0915492957746,85189.901512324,347,428
81.0747663551402,"x38360_891_68295_15_52",61.0915492957746,84441.226987676,347,428
81.0747663551402,"x41207_899_74694_16_932",61.0915492957746,83641.5654841549,347,428
81.0747663551402,"x40676_551_50339_16_57",61.0915492957746,78089.1133028168,347,428
81.0747663551402,"x39539_919_71457_16_019",61.0915492957746,69370.8820475351,347,428
81.0747663551402,"x39058_943_71439_15_805",61.0915492957746,67848.8797764084,347,428
81.0747663551402,"x40918_949_76274_16_722",61.0915492957746,66050.0417235915,347,428
