"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
80.5869074492099,"X865",59.7989949748744,2003784.08324607,357,443
80.3611738148984,"X982",59.6314907872697,5502176.95783451,356,443
80.3611738148984,"X825",59.6314907872697,4957332.47059296,356,443
80.3611738148984,"X927",59.6314907872697,4353869.05009716,356,443
80.3611738148984,"X867",59.6314907872697,2569376.00316331,356,443
80.3611738148984,"X841",59.6314907872697,1140325.83568342,356,443
80.3611738148984,"X943",59.6314907872697,918968.995504186,356,443
80.1354401805869,"X944",59.463986599665,27163945.6494324,355,443
80.1354401805869,"X973",59.463986599665,4457985.52309883,355,443
80.1354401805869,"X933",59.463986599665,2587736.04156784,355,443
79.9097065462754,"X916",59.2964824120603,34696565.4989534,354,443
79.9097065462754,"X931",59.2964824120603,4578957.21788945,354,443
79.6839729119639,"X945",59.1289782244556,6440466.99186598,353,443
79.6839729119639,"X984",59.1289782244556,4117661.47496482,353,443
79.6839729119639,"X863",59.1289782244556,1942104.03872864,353,443
79.6839729119639,"X577",59.1289782244556,1522905.91831357,353,443
79.4582392776524,"X839",58.9614740368509,1427388.75355444,352,443
79.0067720090293,"X889",58.6264656616415,2074126.46456985,350,443
78.7810383747178,"X1001",58.4589614740369,948367.022184923,349,443
78.7810383747178,"X965",58.4589614740369,324911.747034338,349,443
78.3295711060948,"X999",58.1239530988275,3029499.78228811,347,443
77.8781038374718,"X958",57.7889447236181,4292766.84023166,345,443
77.8781038374718,"X895",57.7889447236181,2021739.24234255,345,443
77.2009029345372,"X1032",57.286432160804,607191.400482412,342,443
76.7494356659142,"X762",56.9514237855946,10175862.7015901,340,443
74.9435665914221,"X335",55.6113902847571,1418929.23348208,332,443
73.3634311512415,"X573",54.4388609715243,2221966.65102312,325,443
73.13769751693,"X579",54.2713567839196,972079.226525125,324,443
72.0090293453725,"X503",53.4338358458961,1183670.40750151,319,443
70.6546275395034,"X1411",52.428810720268,25557.7144770519,313,443
69.5259593679458,"X1034",51.5912897822446,365320.278865327,308,443
67.0428893905192,"X1078",49.748743718593,132763.541362814,297,443
67.0428893905192,"X1015",49.748743718593,85537.8398048575,297,443
66.3656884875846,"X1080",49.2462311557789,193552.647840201,294,443
65.9142212189616,"X1060",48.9112227805695,47967.8905825796,292,443
65.6884875846501,"X891",48.7437185929648,4112402.84175343,291,443
63.882618510158,"X987",47.4036850921273,196861.538531323,283,443
61.8510158013544,"X1122",45.8961474036851,121640.583816248,274,443
61.6252821670429,"X1012",45.7286432160804,566212.695214405,273,443
60.7223476297968,"X571",45.0586264656616,467391.333504188,269,443
54.4018058690745,"X1438",40.3685092127303,6231.67916532664,241,443
54.176072234763,"X1108",40.2010050251256,73557.2030217753,240,443
46.5011286681716,"X1086",34.5058626465662,50424.8289835847,206,443
46.5011286681716,"X1084",34.5058626465662,41140.1492994975,206,443
43.5665914221219,"X1035",32.3283082077052,25788.012359799,193,443
40.4063205417607,"X1136",29.9832495812395,24722.1228246231,179,443
36.7945823927765,"X1112",27.3031825795645,24950.6407854272,163,443
35.8916478555305,"X1189",26.6331658291457,198222.616015914,159,443
34.3115124153499,"X1150",25.4606365159129,34956.9997693467,152,443
33.8600451467269,"X223",25.1256281407035,4672.61167989949,150,443
29.3453724604966,"X1102",21.7755443886097,67029.2840268004,130,443
26.6365688487585,"X1131",19.7654941373534,31532.5267644892,118,443
25.7336343115124,"X1177",19.0954773869347,16553.9198301507,114,443
25.2821670428894,"X1107",18.7604690117253,8289.06627922949,112,443
23.7020316027088,"X1123",17.5879396984925,59293.8141031827,105,443
18.961625282167,"X1141",14.070351758794,5866.30315376883,84,443
18.510158013544,"X441",13.7353433835846,409981.301005025,82,443
17.3814898419865,"X1163",12.8978224455611,2227.92716432161,77,443
15.8013544018059,"X1419",11.7252931323283,2540.15671943049,70,443
15.1241534988713,"X1120",11.2227805695142,31162.4605142378,67,443
14.4469525959368,"X1272",10.7202680067002,14807.2656909547,64,443
14.2212189616253,"X1195",10.5527638190955,761743.260777222,63,443
13.9954853273138,"X1113",10.3852596314908,1687.71096566164,62,443
