metabolite,ubiquity_overall,avg_abundance
x19525_794_57465_9_194,94.71830985915493,928663.2340133811
x27615_824_65407_12_621,94.71830985915493,5250060.221985913
x27886_568_56741_12_697,94.71830985915493,73138.87871461273
x3140_504_34195_2_931,94.71830985915493,1726592.3894894365
x35691_816_70708_14_585,94.71830985915493,289979.4343362676
x36096_895_75583_14_771,94.71830985915493,530164.4001360914
x4177_524_37207_3_374,94.71830985915493,781333.2792447183
x17531_380_38859_8_317,94.54225352112677,54432.22504771127
x23917_560_50173_11_563,94.54225352112677,286373.5782994718
x24094_744_59071_11_633,94.54225352112677,1140518.4953746472
x25672_720_59057_12_099,94.54225352112677,959300.6014133799
x26336_604_56644_12_314,94.54225352112677,550184.7281542254
x28198_574_55625_12_781,94.54225352112677,537835.0657802817
x30506_632_59866_13_341,94.54225352112677,1799600.0238885556
x3523_508_37638_3_101,94.54225352112677,948440.7748114432
x9581_312_32619_5_106,94.36619718309859,71899.0633096831
x16964_784_52465_8_108,94.19014084507043,2103628.1085649645
x18452_780_55417_8_663,94.19014084507043,5639391.9361383775
x22065_808_58522_10_474,94.19014084507043,3981976.968649824
x24973_784_62164_11_93,94.19014084507043,340958.89541302825
x25926_794_60382_12_201,94.19014084507043,284509.30634683097
x27741_832_62625_12_657,94.19014084507043,256125.71321073943
x27815_780_63749_12_669,94.19014084507043,701065.1253586271
x1430_568_33966_1_63,94.01408450704226,1349182.1848801055
x21652_742_57577_10_298,94.01408450704226,9268708.483657401
x23284_810_60134_11_227,94.01408450704226,7141802.705451938
x23528_756_59627_11_379,94.01408450704226,986982.4614561615
x24892_820_62069_11_882,94.01408450704226,5476233.046213731
x25734_822_63619_12_121,94.01408450704226,10191916.683702841
x26360_766_62066_12_319,94.01408450704226,2075106.6908767603
x35900_945_7715_14_701,94.01408450704226,615430.7108720067
x36835_920_76771_14_931,94.01408450704226,1099586.451176409
x20835_766_57513_9_851,93.83802816901408,2633181.188831339
x21746_820_58918_10_33,93.83802816901408,298256.76913820417
x24359_782_60661_11_724,93.83802816901408,5333430.56133715
x25659_824_64193_12_125,93.83802816901408,2295440.331879403
x29055_606_58214_13_01,93.83802816901408,501321.24831249996
x35792_918_75222_14_613,93.83802816901408,814742.2102757044
x35902_843_72546_14_682,93.83802816901408,334362.423540669
x365_219_17428_1_014,93.83802816901408,134707.6779392605
x18316_796_5898_8_595,93.66197183098592,2496675.0356558096
x19867_430_37839_9_32,93.66197183098592,185249.11286672534
x22190_556_53067_10_555,93.66197183098592,158865.0716628521
x24157_836_61649_11_652,93.66197183098592,8514647.234023424
x27982_604_56684_12_699,93.66197183098592,1755938.2580700703
x28313_748_6206_12_814,93.66197183098592,489126.89581232396
x38085_926_81123_15_466,93.66197183098592,383357.6886647887
x1177_372_31064_1_478,93.48591549295774,138075.89613397885
x23042_746_57598_11_096,93.48591549295774,838283.8750878519
x24951_818_60271_11_9,93.48591549295774,626338.8763797535
x25471_770_61358_12_022,93.48591549295774,928494.507843486
x28640_617_5125_12_9,93.48591549295774,65622.40499929579
x5091_482_32527_3_667,93.48591549295774,563654.1719114436
x17948_659_51273_8_479,93.30985915492957,5217372.856991199
x20849_732_55336_9_863,93.30985915492957,2032586.11933116
x21661_780_59178_10_306,93.30985915492957,4412397.556638906
x25147_576_53552_11_946,93.30985915492957,233454.43273978878
x25995_838_63234_12_215,93.30985915492957,6414409.933885037
x26806_772_62304_12_411,93.30985915492957,1931484.6115496445
x27012_810_63907_12_479,93.30985915492957,1136787.228627465
x28965_869_72183_12_988,93.30985915492957,69640.30573573943
x12396_354_37301_6_155,93.13380281690141,199114.62687500007
x14538_872_60438_7_095,93.13380281690141,6726516.953642604
x19255_518_49318_9_043,93.13380281690141,3271096.8789441865
x19278_762_53821_8_983,93.13380281690141,157664.45373292253
x20473_788_55523_9_685,93.13380281690141,1177105.5242278168
x23646_782_60635_11_462,93.13380281690141,1361872.9764832738
x2462_518_32165_2_454,93.13380281690141,930795.610521127
x31750_634_61382_13_623,93.13380281690141,1021624.601988204
x3635_581_39976_3_175,93.13380281690141,149988.03098309858
x36386_622_65089_14_812,93.13380281690141,31175.395329753523
x38304_928_82985_15_531,93.13380281690141,233023.18640862682
x38483_927_81619_15_571,93.13380281690141,353727.5597577464
x38776_634_6867_15_697,93.13380281690141,266685.0370952462
x39221_980_8619_15_869,93.13380281690141,302424.7399160209
x19962_728_56711_9_399,92.95774647887323,940671.3273531696
x23059_747_57869_11_093,92.95774647887323,363371.9347366197
x25439_586_51817_12_031,92.95774647887323,104299.84491285212
x25740_808_62031_12_113,92.95774647887323,1920649.2057098574
x2760_426_35751_2_678,92.95774647887323,173946.98595757037
x28291_824_65392_12_805,92.95774647887323,3869013.1188741163
x28602_801_65749_12_87,92.95774647887323,526826.0769503524
x28976_812_66148_12_988,92.95774647887323,5353557.926841546
x31974_536_57702_13_731,92.95774647887323,461650.62072147883
x35308_892_73619_14_462,92.95774647887323,830334.8353940144
