"metabolite","coral_present","noncoral_present","coral_percent","noncoral_percent","total_present","total_percent","coral_minus_noncoral"
"x32507_622_61287_13_786",377,5,85.1015801354402,3.24675324675325,382,63.9865996649916,81.8548268886869
"x37944_820_73708_15_311",414,18,93.4537246049661,11.6883116883117,432,72.3618090452261,81.7654129166545
"x40810_980_86364_16_643",365,1,82.392776523702,0.649350649350649,366,61.3065326633166,81.7434258743514
"x41205_906_84716_16_929",362,0,81.7155756207675,0,362,60.6365159128978,81.7155756207675
"x40001_978_84602_16_241",362,0,81.7155756207675,0,362,60.6365159128978,81.7155756207675
"x41233_912_83892_16_95",362,0,81.7155756207675,0,362,60.6365159128978,81.7155756207675
"x38318_998_81178_15_523",364,1,82.1670428893905,0.649350649350649,365,61.1390284757119,81.5176922400399
"x40652_879_81886_16_559",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x39933_851_7874_16_155",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x40143_926_81384_16_293",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x38087_949_80269_15_411",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x41236_880_82891_16_953",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x41256_852_80258_16_969",361,0,81.489841986456,0,361,60.4690117252931,81.489841986456
"x39847_822_75508_16_151",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x40619_904_83031_16_541",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x36708_942_75406_14_916",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x38868_796_73471_15_724",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x40682_905_83452_16_541",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x41277_914_85207_16_98",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x41255_881_83319_16_958",360,0,81.2641083521445,0,360,60.3015075376884,81.2641083521445
"x37328_918_7549_15_129",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x39091_950_81423_15_819",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40657_855_74096_16_558",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40597_928_83123_16_485",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40908_956_86271_16_719",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x41165_907_85092_16_929",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40717_886_81987_16_596",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x41188_932_86258_16_913",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40613_881_75541_16_535",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x41209_883_77291_16_932",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40753_978_84892_16_622",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x41557_906_85001_17_283",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x40764_1006_87778_16_622",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x41261_857_75758_16_972",359,0,81.038374717833,0,359,60.1340033500838,81.038374717833
"x39445_950_81651_15_998",364,2,82.1670428893905,1.2987012987013,366,61.3065326633166,80.8683415906892
"x39888_848_77057_16_173",358,0,80.8126410835214,0,358,59.9664991624791,80.8126410835214
"x39160_951_81841_15_822",358,0,80.8126410835214,0,358,59.9664991624791,80.8126410835214
"x41273_886_82369_16_981",358,0,80.8126410835214,0,358,59.9664991624791,80.8126410835214
"x40689_853_80106_16_577",358,0,80.8126410835214,0,358,59.9664991624791,80.8126410835214
