Feature,XGBoost_Importance,RandomForest_Importance
x21470_732_61496_10_207,0.0,0.0038324803779367423
x32113_570_52527_13_704,0.0,0.003755677274798263
x28976_812_66148_12_988,0.0,0.003750280570777769
x23260_532_50935_11_213,0.0,0.003690486515440916
x27746_586_55698_12_658,0.0,0.0036790808019223245
x15214_800_50547_7_387,0.0,0.0035758003444809968
x40531_832_7758_16_473,0.0,0.0035095084489878857
x41596_914_85546_17_336,0.0,0.003502688001509099
x2120_556_30281_2_125,0.0,0.0034864537536479414
x29507_836_64781_13_046,0.0,0.0033145871499830155
x39591_934_81857_16_036,0.0,0.0032726506445660527
x41273_886_82369_16_981,0.0,0.003256923145282774
x8757_856_49525_4_804,0.0,0.003255667471345571
x8881_490_39057_4_844,0.0,0.003007815414109637
x26020_484_28221_12_22,0.0,0.0029988906125888895
x7228_708_44485_4_33,0.0,0.002929104957781439
x19257_500_48165_9_045,0.0,0.0029190904903386786
x17910_516_47829_8_47,0.0,0.0028908254672981013
x21481_743_57811_10_286,0.0,0.002828424447547958
x26019_361_27312_12_222,0.0,0.0027833117349000303
x6681_842_47889_4_141,0.0,0.002721596844064557
x27982_604_56684_12_699,0.0,0.0026981446964334027
x24282_914_73_11_699,0.0,0.002657354619801356
x31050_658_55407_13_465,0.0,0.0025886318114368007
x31005_584_57882_13_451,0.0,0.002586147016998345
x142_335_18306_0_795,0.0,0.002564080179273716
x30378_655_5675_13_285,0.0,0.0025536325762314975
x33473_624_62987_14_015,0.0,0.002460465636067654
x2954_468_34807_2_833,0.0,0.002419554933192833
x31769_628_60346_13_622,0.0,0.00241381971184965
x20160_682_59838_9_511,0.0,0.0023839569897624053
x36616_808_73736_14_863,0.0,0.002376497184833394
x1665_478_33003_1_765,0.0,0.0023487003886675756
x41005_860_80765_16_798,0.0,0.0023406646405199454
x31074_653_54823_13_466,0.0,0.0023267165654681328
x30298_826_67756_13_292,0.0,0.002325496978814144
x16255_896_61839_7_768,0.0,0.0023240792568784757
x17374_787_54278_8_267,0.0,0.0022586164759046765
x34886_624_62949_14_356,0.0,0.002238139244759589
x23373_613_55607_11_279,0.0,0.0022350966074819113
x26463_780_58717_12_378,0.0,0.0022338989489077477
x31622_704_61782_13_598,0.0,0.0022215266426912636
x20603_682_59798_9_758,0.0,0.0021740849060192017
x28738_588_5718_12_997,0.0,0.002142731075811008
x29533_628_56392_13_094,0.0,0.0020418185377193373
x6176_385_34734_3_982,0.0,0.0020307376751783333
x23903_639_64054_11_565,0.0,0.0020289668500201074
x25731_892_52435_12_116,0.0,0.0020062855191727022
x23400_873_58478_11_287,0.0,0.0019721687259086408
x10767_692_42683_5_536,0.0,0.001929737298318742
x26021_752_55957_12_218,0.0,0.0019245591305571115
x22267_488_48279_10_601,0.0,0.00191635042760815
x17077_854_62764_8_15,0.0,0.001906550841833974
x22281_518_49367_10_602,0.0,0.0018922251449456247
x23919_766_53723_11_563,0.0,0.0018893177179220002
x39141_930_78887_15_835,0.0,0.0018870271949413533
x150_277_17971_0_819,0.0,0.001878878742397237
x25995_838_63234_12_215,0.0,0.001851542402965006
x23174_724_5283_11_167,0.0,0.0018233083323413162
x31012_631_5664_13_455,0.0,0.0018176115847200588
x21553_593_56088_10_219,0.0,0.0017873687933327943
x7369_678_47075_4_388,0.0,0.0017735101152823287
x17995_730_59783_8_496,0.0,0.0017677179012290315
x23845_937_57764_11_54,0.0,0.0017643301660519983
x23499_836_6164_11_348,0.0,0.0016992768275879032
x40253_934_82237_16_346,0.0,0.0016946356611698434
x11042_812_50466_5_639,0.0,0.0016457166763141622
x29160_618_58231_13_036,0.0,0.00162587308042515
x19586_792_59037_9_203,0.0,0.0015873935075487017
x4972_585_28897_3_634,0.0,0.0015707646338510434
x8571_651_53221_4_745,0.0,0.0015536557551160187
